,2026-03-31,2025-12-31,2025-09-30,2024-12-31
Ordinary Shares Number,54138555.0,53984337.0,53984337.0,53984337.0
Share Issued,54138555.0,53984337.0,53984337.0,53984337.0
Total Debt,254831000.0,257319000.0,240730000.0,202459000.0
Tangible Book Value,550671000.0,-879034000.0,-804354000.0,-571930000.0
Invested Capital,550671000.0,-879034000.0,-804354000.0,-571930000.0
Working Capital,484437000.0,293910000.0,346102000.0,171440000.0
Net Tangible Assets,550671000.0,-879034000.0,-804354000.0,-571930000.0
Capital Lease Obligations,254831000.0,257319000.0,240730000.0,202459000.0
Common Stock Equity,550671000.0,-879034000.0,-804354000.0,-571930000.0
Total Capitalization,550671000.0,-879034000.0,-804354000.0,-571930000.0
Total Equity Gross Minority Interest,550671000.0,-879034000.0,-804354000.0,-571930000.0
Stockholders Equity,550671000.0,-879034000.0,-804354000.0,-571930000.0
Retained Earnings,-1003467000.0,-920509000.0,-840854000.0,-604941000.0
Additional Paid In Capital,1554133000.0,41475000.0,36500000.0,33011000.0
Capital Stock,5000.0,0.0,0.0,0.0
Common Stock,5000.0,0.0,0.0,0.0
Preferred Stock,0.0,,,
Total Liabilities Net Minority Interest,300155000.0,1473768000.0,1446691000.0,1063170000.0
Total Non Current Liabilities Net Minority Interest,255091000.0,1418761000.0,1402297000.0,1006721000.0
Other Non Current Liabilities,10000000.0,10000000.0,10002000.0,5348000.0
Preferred Securities Outside Stock Equity,0.0,1161470000.0,1161470000.0,808221000.0
Long Term Debt And Capital Lease Obligation,245091000.0,247291000.0,230825000.0,193152000.0
Long Term Capital Lease Obligation,245091000.0,247291000.0,230825000.0,193152000.0
Current Liabilities,45064000.0,55007000.0,44394000.0,56449000.0
Other Current Liabilities,,35000.0,58000.0,301000.0
Current Debt And Capital Lease Obligation,9740000.0,10028000.0,9905000.0,9307000.0
Current Capital Lease Obligation,9740000.0,10028000.0,9905000.0,9307000.0
Pensionand Other Post Retirement Benefit Plans Current,11207000.0,,,
Payables And Accrued Expenses,24117000.0,44944000.0,34431000.0,46841000.0
Current Accrued Expenses,18112000.0,44263000.0,30149000.0,29263000.0
Payables,6005000.0,681000.0,4282000.0,17578000.0
Accounts Payable,6005000.0,681000.0,4282000.0,17578000.0
Total Assets,850826000.0,594734000.0,642337000.0,491240000.0
Total Non Current Assets,321325000.0,245817000.0,251841000.0,263351000.0
Other Non Current Assets,8364000.0,8354000.0,8391000.0,4219000.0
Non Current Deferred Assets,,3600000.0,2300000.0,
Investments And Advances,83828000.0,,,
Investmentin Financial Assets,83828000.0,,,
Available For Sale Securities,83828000.0,,,
Net PPE,229133000.0,233863000.0,241150000.0,259132000.0
Accumulated Depreciation,-48094000.0,-42914000.0,-38028000.0,-33902000.0
Gross PPE,277227000.0,276777000.0,279178000.0,293034000.0
Leases,120588000.0,120588000.0,121806000.0,18613000.0
Construction In Progress,963000.0,624000.0,128000.0,96858000.0
Other Properties,131818000.0,131717000.0,133508000.0,158281000.0
Machinery Furniture Equipment,23858000.0,23848000.0,23736000.0,19282000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,529501000.0,348917000.0,390496000.0,227889000.0
Other Current Assets,16919000.0,12542000.0,14242000.0,7378000.0
Restricted Cash,400000.0,400000.0,400000.0,400000.0
Cash Cash Equivalents And Short Term Investments,512182000.0,335975000.0,375854000.0,220111000.0
Other Short Term Investments,351028000.0,231074000.0,270986000.0,90932000.0
Cash And Cash Equivalents,161154000.0,104901000.0,104868000.0,129179000.0
Cash Equivalents,148094000.0,84960000.0,43135000.0,15813000.0
Cash Financial,13060000.0,19941000.0,61733000.0,113366000.0
