,2025-12-31,2025-06-30
Treasury Shares Number,3706049.0,2616121.0
Ordinary Shares Number,37199151.0,38289079.0
Share Issued,40905200.0,40905200.0
Total Debt,4748000000.0,1503000000.0
Tangible Book Value,137828000000.0,135390000000.0
Invested Capital,150190000000.0,144446000000.0
Working Capital,82951000000.0,79277000000.0
Net Tangible Assets,137828000000.0,135390000000.0
Common Stock Equity,145442000000.0,142943000000.0
Total Capitalization,149442000000.0,143000000000.0
Total Equity Gross Minority Interest,146076000000.0,143835000000.0
Minority Interest,634000000.0,892000000.0
Stockholders Equity,145442000000.0,142943000000.0
Treasury Stock,16632000000.0,11700000000.0
Retained Earnings,143510000000.0,141402000000.0
Additional Paid In Capital,8214000000.0,7885000000.0
Capital Stock,2340000000.0,
Common Stock,2340000000.0,2340000000.0
Total Liabilities Net Minority Interest,33830000000.0,32338000000.0
Total Non Current Liabilities Net Minority Interest,6536000000.0,2370000000.0
Other Non Current Liabilities,1028000000.0,894000000.0
Non Current Pension And Other Postretirement Benefit Plans,1059000000.0,965000000.0
Non Current Deferred Taxes Liabilities,428000000.0,454000000.0
Long Term Debt And Capital Lease Obligation,4000000000.0,57000000.0
Long Term Debt,4000000000.0,57000000.0
Long Term Provisions,21000000.0,
Current Liabilities,27294000000.0,29968000000.0
Other Current Liabilities,9704000000.0,11717000000.0
Current Debt And Capital Lease Obligation,748000000.0,1446000000.0
Current Debt,748000000.0,1446000000.0
Pensionand Other Post Retirement Benefit Plans Current,1008000000.0,672000000.0
Current Provisions,373000000.0,
Payables,12367000000.0,12817000000.0
Total Tax Payable,1624000000.0,1915000000.0
Accounts Payable,10743000000.0,10902000000.0
Total Assets,179906000000.0,176173000000.0
Total Non Current Assets,69658000000.0,66926000000.0
Other Non Current Assets,868000000.0,868000000.0
Defined Pension Benefit,5773000000.0,3935000000.0
Non Current Deferred Taxes Assets,1107000000.0,1518000000.0
Investmentin Financial Assets,8093000000.0,7952000000.0
Available For Sale Securities,8093000000.0,7952000000.0
Goodwill And Other Intangible Assets,7614000000.0,7553000000.0
Other Intangible Assets,6342000000.0,6363000000.0
Goodwill,1272000000.0,1190000000.0
Net PPE,46203000000.0,45100000000.0
Accumulated Depreciation,-74817000000.0,-71539000000.0
Gross PPE,121019000000.0,116638000000.0
Construction In Progress,3073000000.0,2966000000.0
Other Properties,23347000000.0,22306000000.0
Machinery Furniture Equipment,48623000000.0,46079000000.0
Buildings And Improvements,38426000000.0,37790000000.0
Land And Improvements,7550000000.0,7497000000.0
Properties,0.0,0.0
Current Assets,110245000000.0,109245000000.0
Other Current Assets,5518000000.0,3423000000.0
Inventory,38309000000.0,36073000000.0
Finished Goods,24317000000.0,22911000000.0
Work In Process,9123000000.0,8511000000.0
Raw Materials,4869000000.0,4651000000.0
Accounts Receivable,26426000000.0,32796000000.0
Gross Accounts Receivable,26426000000.0,32796000000.0
Cash Cash Equivalents And Short Term Investments,39992000000.0,36953000000.0
Cash And Cash Equivalents,39992000000.0,36953000000.0
