,2026-03-31,2025-09-30,2025-03-31
Ordinary Shares Number,324521588.0,324521588.0,324521588.0
Share Issued,324521588.0,324521588.0,324521588.0
Net Debt,5549800000.0,4095400000.0,2562214000.0
Total Debt,5593100000.0,4166100000.0,2651347000.0
Tangible Book Value,12674800000.0,-4160100000.0,-2706006000.0
Invested Capital,18949600000.0,658400000.0,412373000.0
Working Capital,11083300000.0,-4773400000.0,-3480434000.0
Net Tangible Assets,12674800000.0,-4160100000.0,-2706006000.0
Capital Lease Obligations,31700000.0,61300000.0,69494000.0
Common Stock Equity,13388200000.0,-3446400000.0,-2169480000.0
Total Capitalization,13388200000.0,-2446400000.0,-1169480000.0
Total Equity Gross Minority Interest,13388200000.0,-3446400000.0,-2169480000.0
Stockholders Equity,13388200000.0,-3446400000.0,-2169480000.0
Other Equity Interest,13063700000.0,-3770900000.0,-2494000000.0
Retained Earnings,,,-23216048000.0
Additional Paid In Capital,,,20381589000.0
Capital Stock,324500000.0,324500000.0,324530000.0
Common Stock,324500000.0,324500000.0,324530000.0
Total Liabilities Net Minority Interest,8320400000.0,6670800000.0,5524815000.0
Total Non Current Liabilities Net Minority Interest,779500000.0,1752500000.0,1782412000.0
Other Non Current Liabilities,626000000.0,626000000.0,626000000.0
Non Current Pension And Other Postretirement Benefit Plans,,,76758000.0
Tradeand Other Payables Non Current,,,1140000.0
Non Current Deferred Revenue,,,625981000.0
Long Term Debt And Capital Lease Obligation,16600000.0,1038100000.0,1069494000.0
Long Term Capital Lease Obligation,16600000.0,38100000.0,69494000.0
Long Term Debt,0.0,1000000000.0,1000000000.0
Long Term Provisions,123400000.0,76800000.0,76800000.0
Current Liabilities,7540900000.0,4918300000.0,3742403000.0
Other Current Liabilities,82100000.0,523500000.0,116474000.0
Current Deferred Taxes Liabilities,,,4429000.0
Current Debt And Capital Lease Obligation,5576500000.0,3128000000.0,1581853000.0
Current Capital Lease Obligation,15100000.0,23200000.0,37900000.0
Current Debt,5561400000.0,3104800000.0,1581853000.0
Pensionand Other Post Retirement Benefit Plans Current,,,74454000.0
Current Provisions,128500000.0,75200000.0,74500000.0
Payables,971500000.0,921000000.0,1381668000.0
Other Payable,,,204441000.0
Total Tax Payable,0.0,4600000.0,4400000.0
Accounts Payable,971500000.0,916400000.0,1177227000.0
Total Assets,21708600000.0,3224400000.0,3355335000.0
Total Non Current Assets,3084400000.0,3079500000.0,3093366000.0
Other Non Current Assets,910900000.0,818900000.0,718500000.0
Non Current Prepaid Assets,,,723143000.0
Non Current Deferred Taxes Assets,22700000.0,22800000.0,23088000.0
Investmentin Financial Assets,287400000.0,271500000.0,261100000.0
Available For Sale Securities,287400000.0,271500000.0,261100000.0
Goodwill And Other Intangible Assets,713400000.0,713700000.0,536526000.0
Other Intangible Assets,713400000.0,713700000.0,536526000.0
Net PPE,856800000.0,914800000.0,992554000.0
Accumulated Depreciation,,,-582252000.0
Gross PPE,856800000.0,914800000.0,1574806000.0
Construction In Progress,5000000.0,6600000.0,5607000.0
Other Properties,851800000.0,908200000.0,178022000.0
Machinery Furniture Equipment,,,1000432000.0
Buildings And Improvements,,,310395000.0
Land And Improvements,,,80350000.0
Properties,,,0.0
Current Assets,18624200000.0,144900000.0,261969000.0
Other Current Assets,18459100000.0,54300000.0,56500000.0
Prepaid Assets,,,56547000.0
Other Receivables,1700000.0,1700000.0,7632000.0
Taxes Receivable,54500000.0,,17586000.0
Accounts Receivable,82700000.0,58900000.0,160565000.0
Allowance For Doubtful Accounts Receivable,,,-20495000.0
Gross Accounts Receivable,,,181060000.0
Cash Cash Equivalents And Short Term Investments,26200000.0,30000000.0,19639000.0
Other Short Term Investments,14600000.0,20600000.0,23600000.0
Cash And Cash Equivalents,11600000.0,9400000.0,19639000.0
Cash Financial,,,19639000.0
