,2025-12-31,2025-06-30
Treasury Shares Number,1534384.0,2072997.0
Ordinary Shares Number,22787616.0,22787003.0
Share Issued,24322000.0,24860000.0
Total Debt,9020000000.0,3614000000.0
Tangible Book Value,76079000000.0,73181000000.0
Invested Capital,81653000000.0,79127000000.0
Working Capital,59093000000.0,56877000000.0
Net Tangible Assets,76079000000.0,73181000000.0
Capital Lease Obligations,5286000000.0,
Common Stock Equity,77919000000.0,75513000000.0
Total Capitalization,79466000000.0,77483000000.0
Total Equity Gross Minority Interest,78805000000.0,76459000000.0
Minority Interest,885000000.0,943000000.0
Stockholders Equity,77919000000.0,75513000000.0
Fixed Assets Revaluation Reserve,-3028000000.0,-3028000000.0
Treasury Stock,3246000000.0,4505000000.0
Retained Earnings,49991000000.0,49261000000.0
Additional Paid In Capital,9289000000.0,10546000000.0
Capital Stock,16174000000.0,16174000000.0
Common Stock,16174000000.0,16174000000.0
Total Liabilities Net Minority Interest,29710000000.0,27876000000.0
Total Non Current Liabilities Net Minority Interest,8847000000.0,9470000000.0
Other Non Current Liabilities,620000000.0,5131000000.0
Non Current Pension And Other Postretirement Benefit Plans,2496000000.0,2369000000.0
Non Current Deferred Taxes Liabilities,873000000.0,
Long Term Debt And Capital Lease Obligation,4858000000.0,1970000000.0
Long Term Capital Lease Obligation,3311000000.0,
Long Term Debt,1547000000.0,1970000000.0
Current Liabilities,20863000000.0,18406000000.0
Other Current Liabilities,8403000000.0,
Current Debt And Capital Lease Obligation,4162000000.0,1644000000.0
Current Capital Lease Obligation,1975000000.0,
Current Debt,2187000000.0,1644000000.0
Pensionand Other Post Retirement Benefit Plans Current,429000000.0,409000000.0
Current Provisions,128000000.0,724000000.0
Payables,7204000000.0,5688000000.0
Total Tax Payable,2599000000.0,1984000000.0
Accounts Payable,4605000000.0,3704000000.0
Total Assets,108515000000.0,104335000000.0
Total Non Current Assets,28556000000.0,29051000000.0
Other Non Current Assets,1707000000.0,3476000000.0
Defined Pension Benefit,3120000000.0,2516000000.0
Non Current Deferred Taxes Assets,1503000000.0,
Investmentin Financial Assets,4021000000.0,4762000000.0
Available For Sale Securities,4021000000.0,4762000000.0
Investment Properties,255000000.0,
Goodwill And Other Intangible Assets,1840000000.0,2332000000.0
Other Intangible Assets,712000000.0,890000000.0
Goodwill,1128000000.0,1442000000.0
Net PPE,16110000000.0,15965000000.0
Accumulated Depreciation,-22720000000.0,
Gross PPE,38832000000.0,15964000000.0
Construction In Progress,123000000.0,
Other Properties,1854000000.0,4045000000.0
Machinery Furniture Equipment,13402000000.0,
Buildings And Improvements,17103000000.0,5590000000.0
Land And Improvements,6350000000.0,6329000000.0
Properties,0.0,0.0
Current Assets,79956000000.0,75283000000.0
Other Current Assets,1459000000.0,1131000000.0
Inventory,8699000000.0,8240000000.0
Finished Goods,2121000000.0,1759000000.0
Work In Process,1563000000.0,1707000000.0
Raw Materials,5015000000.0,4774000000.0
Accounts Receivable,42314000000.0,28675000000.0
Gross Accounts Receivable,42314000000.0,28675000000.0
Cash Cash Equivalents And Short Term Investments,23363000000.0,32816000000.0
Other Short Term Investments,,500000000.0
Cash And Cash Equivalents,23363000000.0,32316000000.0
