,2026-03-31,2025-09-30
Ordinary Shares Number,28712500.0,25475000.0
Share Issued,28712500.0,25475000.0
Total Debt,,150000.0
Tangible Book Value,230092491.0,-6751.0
Invested Capital,230092491.0,143249.0
Working Capital,1044222.0,-6751.0
Net Tangible Assets,230092491.0,-6751.0
Common Stock Equity,230092491.0,-6751.0
Total Capitalization,230092491.0,-6751.0
Total Equity Gross Minority Interest,230092491.0,-6751.0
Stockholders Equity,230092491.0,-6751.0
Retained Earnings,1043603.0,-16751.0
Additional Paid In Capital,0.0,9425.0
Capital Stock,229048888.0,575.0
Common Stock,229048888.0,575.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,11702.0,221751.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,11702.0,221751.0
Current Debt And Capital Lease Obligation,,150000.0
Current Debt,,150000.0
Other Current Borrowings,,150000.0
Payables And Accrued Expenses,11702.0,71751.0
Current Accrued Expenses,0.0,55000.0
Payables,11702.0,16751.0
Accounts Payable,11702.0,16751.0
Total Assets,230104193.0,215000.0
Total Non Current Assets,229048269.0,0.0
Other Non Current Assets,229048269.0,
Current Assets,1055924.0,215000.0
Current Deferred Assets,0.0,55000.0
Prepaid Assets,157935.0,
Cash Cash Equivalents And Short Term Investments,897989.0,160000.0
Cash And Cash Equivalents,897989.0,160000.0
Cash Financial,897989.0,160000.0
