,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,193024929.0,125231529.0,101539219.0
Share Issued,193024929.0,125231529.0,101539219.0
Total Debt,7998000.0,6371000.0,8876000.0
Tangible Book Value,434899000.0,117829000.0,76488000.0
Invested Capital,463186000.0,123567000.0,84421000.0
Working Capital,421390000.0,114863000.0,76169000.0
Net Tangible Assets,434899000.0,117829000.0,76488000.0
Capital Lease Obligations,6320000.0,933000.0,943000.0
Common Stock Equity,461508000.0,118129000.0,76488000.0
Total Capitalization,462497000.0,121660000.0,79593000.0
Total Equity Gross Minority Interest,461508000.0,118129000.0,76488000.0
Stockholders Equity,461508000.0,118129000.0,76488000.0
Other Equity Interest,,1000.0,
Gains Losses Not Affecting Retained Earnings,852000.0,866000.0,758000.0
Other Equity Adjustments,852000.0,866000.0,758000.0
Retained Earnings,-76107000.0,-61913000.0,-41913000.0
Additional Paid In Capital,534773000.0,177863000.0,116568000.0
Capital Stock,1990000.0,1312000.0,1075000.0
Common Stock,1990000.0,1312000.0,1075000.0
Total Liabilities Net Minority Interest,42671000.0,23891000.0,21078000.0
Total Non Current Liabilities Net Minority Interest,14423000.0,5895000.0,4185000.0
Other Non Current Liabilities,1310000.0,,
Employee Benefits,2162000.0,1806000.0,464000.0
Non Current Pension And Other Postretirement Benefit Plans,2162000.0,1806000.0,464000.0
Non Current Deferred Liabilities,4367000.0,,0.0
Non Current Deferred Taxes Liabilities,4367000.0,,0.0
Long Term Debt And Capital Lease Obligation,6584000.0,4089000.0,3721000.0
Long Term Capital Lease Obligation,5595000.0,558000.0,616000.0
Long Term Debt,989000.0,3531000.0,3105000.0
Current Liabilities,28248000.0,17996000.0,16893000.0
Current Deferred Liabilities,1625000.0,43000.0,88000.0
Current Deferred Revenue,1625000.0,43000.0,88000.0
Current Debt And Capital Lease Obligation,1414000.0,2282000.0,5155000.0
Current Capital Lease Obligation,725000.0,375000.0,327000.0
Current Debt,689000.0,1907000.0,4828000.0
Current Notes Payable,689000.0,1907000.0,4828000.0
Pensionand Other Post Retirement Benefit Plans Current,1538000.0,1639000.0,0.0
Payables And Accrued Expenses,23671000.0,14032000.0,11650000.0
Current Accrued Expenses,,353534.0,435757.0
Interest Payable,,353534.0,435757.0
Payables,23671000.0,13678466.0,11650000.0
Other Payable,6257000.0,4297000.0,1953000.0
Dueto Related Parties Current,5668000.0,5994466.0,4677000.0
Total Tax Payable,6853000.0,81000.0,1577000.0
Income Tax Payable,3000.0,0.0,1000.0
Accounts Payable,4893000.0,3306000.0,3443000.0
Total Assets,504179000.0,142020000.0,97566000.0
Total Non Current Assets,54541000.0,9161000.0,4504000.0
Other Non Current Assets,251000.0,,82000.0
Non Current Prepaid Assets,,93000.0,
Non Current Deferred Assets,2295000.0,748000.0,190000.0
Non Current Deferred Taxes Assets,2295000.0,748000.0,190000.0
Non Current Note Receivables,31000.0,,0.0
Investments And Advances,15346000.0,3614000.0,0.0
Investmentin Financial Assets,1129000.0,127000.0,0.0
Available For Sale Securities,1129000.0,127000.0,
Long Term Equity Investment,14217000.0,3487000.0,0.0
Investmentsin Associatesat Cost,14217000.0,3487000.0,0.0
Goodwill And Other Intangible Assets,26609000.0,300000.0,0.0
Other Intangible Assets,20953000.0,300000.0,
Goodwill,5656000.0,,0.0
Net PPE,10009000.0,4406000.0,4232000.0
Accumulated Depreciation,-14127000.0,-14021000.0,-13706000.0
Gross PPE,24136000.0,18427000.0,17938000.0
Other Properties,6239000.0,902000.0,1031000.0
Machinery Furniture Equipment,17673000.0,17525000.0,16907000.0
Buildings And Improvements,224000.0,,0.0
Properties,0.0,,0.0
Current Assets,449638000.0,132859000.0,93062000.0
Other Current Assets,42000.0,,26000.0
Current Deferred Assets,4579000.0,2149000.0,2247000.0
Current Deferred Taxes Assets,4579000.0,2149000.0,2247000.0
Prepaid Assets,1188000.0,701000.0,421000.0
Inventory,2012000.0,2204000.0,1418000.0
Finished Goods,1150000.0,1510000.0,172000.0
Work In Process,192000.0,464000.0,482000.0
Raw Materials,670000.0,230000.0,764000.0
Receivables,14128000.0,6866000.0,4326000.0
Other Receivables,463000.0,,7000.0
Duefrom Related Parties Current,549000.0,4230000.0,223000.0
Taxes Receivable,733000.0,203000.0,501000.0
Accounts Receivable,12383000.0,2433000.0,3595000.0
Allowance For Doubtful Accounts Receivable,-380000.0,-50000.0,-50000.0
Gross Accounts Receivable,12763000.0,2483000.0,3645000.0
Cash Cash Equivalents And Short Term Investments,427689000.0,120939000.0,84624000.0
Other Short Term Investments,10032000.0,,0.0
Cash And Cash Equivalents,417657000.0,120939000.0,84624000.0
