,2024-12-31
Ordinary Shares Number,952885.0
Share Issued,952885.0
Net Debt,4412000.0
Total Debt,6879000.0
Tangible Book Value,25553000.0
Invested Capital,31012000.0
Working Capital,16216000.0
Net Tangible Assets,25553000.0
Capital Lease Obligations,1420000.0
Common Stock Equity,25553000.0
Total Capitalization,25553000.0
Total Equity Gross Minority Interest,26241000.0
Minority Interest,688000.0
Stockholders Equity,25553000.0
Other Equity Interest,33220000.0
Gains Losses Not Affecting Retained Earnings,-37627000.0
Other Equity Adjustments,-39487000.0
Foreign Currency Translation Adjustments,1860000.0
Retained Earnings,-108641000.0
Additional Paid In Capital,138601000.0
Capital Stock,0.0
Common Stock,0.0
Total Liabilities Net Minority Interest,11765000.0
Total Non Current Liabilities Net Minority Interest,1072000.0
Long Term Debt And Capital Lease Obligation,1072000.0
Long Term Capital Lease Obligation,1072000.0
Current Liabilities,10693000.0
Current Deferred Liabilities,2612000.0
Current Deferred Revenue,2612000.0
Current Debt And Capital Lease Obligation,5807000.0
Current Capital Lease Obligation,348000.0
Current Debt,5459000.0
Other Current Borrowings,5459000.0
Payables And Accrued Expenses,2274000.0
Current Accrued Expenses,59000.0
Payables,2215000.0
Other Payable,1069000.0
Total Tax Payable,315000.0
Accounts Payable,831000.0
Total Assets,38006000.0
Total Non Current Assets,11097000.0
Non Current Prepaid Assets,198000.0
Non Current Note Receivables,5435000.0
Goodwill And Other Intangible Assets,0.0
Net PPE,5464000.0
Accumulated Depreciation,-262000.0
Gross PPE,5726000.0
Construction In Progress,666000.0
Other Properties,1326000.0
Machinery Furniture Equipment,3734000.0
Buildings And Improvements,0.0
Properties,0.0
Current Assets,26909000.0
Prepaid Assets,5677000.0
Receivables,20185000.0
Other Receivables,1312000.0
Duefrom Related Parties Current,0.0
Loans Receivable,18873000.0
Cash Cash Equivalents And Short Term Investments,1047000.0
Other Short Term Investments,0.0
Cash And Cash Equivalents,1047000.0
Cash Financial,1047000.0
