,2025-09-30
Ordinary Shares Number,5623756.0
Share Issued,5623756.0
Net Debt,3041647.0
Total Debt,3432353.0
Tangible Book Value,101972306.0
Invested Capital,105404659.0
Working Capital,61037813.0
Net Tangible Assets,101972306.0
Common Stock Equity,101972306.0
Total Capitalization,101972306.0
Total Equity Gross Minority Interest,101972306.0
Stockholders Equity,101972306.0
Gains Losses Not Affecting Retained Earnings,-7662448.0
Other Equity Adjustments,-7662448.0
Retained Earnings,-27879848.0
Additional Paid In Capital,8865199.0
Capital Stock,128649403.0
Common Stock,128649403.0
Total Liabilities Net Minority Interest,5342105.0
Total Non Current Liabilities Net Minority Interest,611327.0
Dueto Related Parties Non Current,611327.0
Tradeand Other Payables Non Current,0.0
Current Liabilities,4730778.0
Current Debt And Capital Lease Obligation,3432353.0
Current Debt,3432353.0
Other Current Borrowings,3432353.0
Payables And Accrued Expenses,1298425.0
Current Accrued Expenses,118849.0
Interest Payable,113295.0
Payables,1179576.0
Other Payable,1031424.0
Dueto Related Parties Current,0.0
Total Tax Payable,2717.0
Accounts Payable,145435.0
Total Assets,107314411.0
Total Non Current Assets,41545820.0
Investments And Advances,40604689.0
Long Term Equity Investment,40604689.0
Goodwill And Other Intangible Assets,0.0
Net PPE,941131.0
Accumulated Depreciation,-1530751.0
Gross PPE,2471882.0
Other Properties,61885.0
Machinery Furniture Equipment,2347949.0
Properties,62048.0
Current Assets,65768591.0
Other Current Assets,739319.0
Prepaid Assets,21446203.0
Inventory,3640861.0
Inventories Adjustments Allowances,0.0
Raw Materials,3640861.0
Receivables,39551502.0
Other Receivables,33151699.0
Loans Receivable,4749572.0
Accounts Receivable,1650231.0
Allowance For Doubtful Accounts Receivable,0.0
Gross Accounts Receivable,1650231.0
Cash Cash Equivalents And Short Term Investments,390706.0
Cash And Cash Equivalents,390706.0
Cash Financial,390706.0
