,2026-03-31,2025-09-30
Ordinary Shares Number,31311667.0,27251667.0
Share Issued,31311667.0,27251667.0
Net Debt,,27470.0
Total Debt,,27470.0
Tangible Book Value,225369429.0,-19636.0
Invested Capital,225369429.0,7834.0
Working Capital,662216.0,
Net Tangible Assets,225369429.0,-19636.0
Common Stock Equity,225369429.0,-19636.0
Total Capitalization,225369429.0,-19636.0
Total Equity Gross Minority Interest,225369429.0,-19636.0
Stockholders Equity,225369429.0,-19636.0
Retained Earnings,-7215266.0,-44636.0
Additional Paid In Capital,0.0,24233.0
Capital Stock,232584695.0,767.0
Common Stock,232584695.0,767.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,8237085.0,147508.0
Total Non Current Liabilities Net Minority Interest,8050000.0,0.0
Non Current Deferred Liabilities,8050000.0,
Current Liabilities,187085.0,147508.0
Current Debt And Capital Lease Obligation,,27470.0
Current Debt,,27470.0
Other Current Borrowings,,27470.0
Payables And Accrued Expenses,187085.0,120038.0
Current Accrued Expenses,187085.0,120038.0
Total Assets,233606514.0,127872.0
Total Non Current Assets,232757213.0,127872.0
Other Non Current Assets,232583863.0,
Non Current Prepaid Assets,173350.0,
Non Current Deferred Assets,,127872.0
Current Assets,849301.0,
Prepaid Assets,296665.0,
Cash Cash Equivalents And Short Term Investments,552636.0,
Cash And Cash Equivalents,552636.0,
