,2026-03-31,2025-09-30,2025-03-31
Ordinary Shares Number,32081883.0,32081883.0,32081883.0
Share Issued,32081883.0,32081883.0,32081883.0
Tangible Book Value,726538595.0,680528531.0,624422359.0
Net Tangible Assets,726538595.0,680528531.0,624422359.0
Common Stock Equity,726538595.0,680528531.0,624422359.0
Total Equity Gross Minority Interest,726538595.0,680528531.0,624422359.0
Stockholders Equity,726538595.0,680528531.0,624422359.0
Retained Earnings,84957695.0,38947631.0,-17215301.0
Capital Stock,641580900.0,641580900.0,641637660.0
Common Stock,641580900.0,641580900.0,641637660.0
Total Liabilities Net Minority Interest,2001140.0,4377019.0,3398969.0
Derivative Product Liabilities,737650.0,517064.0,451224.0
Payables,1263490.0,3859955.0,2947745.0
Other Payable,820839.0,737931.0,706186.0
Accounts Payable,442651.0,3122024.0,2241559.0
Total Assets,728539735.0,684905550.0,627821328.0
Investments And Advances,723167260.0,678268199.0,623239957.0
Investmentin Financial Assets,723167260.0,678268199.0,623239957.0
Available For Sale Securities,42454916.0,29519607.0,22501667.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,680712344.0,648748592.0,600738290.0
Prepaid Assets,45951.0,,42679.0
Receivables,3044804.0,4675626.0,2461601.0
Taxes Receivable,1597081.0,1362483.0,1135395.0
Cash And Cash Equivalents,4639.0,569242.0,681696.0
Cash Financial,4639.0,569242.0,681696.0
Cash Cash Equivalents And Federal Funds Sold,684639.0,599242.0,941696.0
