,2026-03-31,2025-12-31,2025-09-30,2024-12-31
Ordinary Shares Number,52234983.0,52234983.0,51235000.0,51235000.0
Share Issued,52234983.0,52234983.0,51235000.0,51235000.0
Total Debt,4016696.0,3952849.0,4995259.0,0.0
Tangible Book Value,17190736.0,17165337.0,15048253.0,8115411.0
Invested Capital,23492558.0,23347371.0,22234561.0,10810588.0
Working Capital,12326792.0,12280831.0,7992232.0,4075559.0
Net Tangible Assets,17190736.0,17165337.0,15048253.0,8115411.0
Capital Lease Obligations,427506.0,479659.0,508069.0,0.0
Common Stock Equity,19903368.0,19874181.0,17747371.0,10810588.0
Total Capitalization,19903368.0,19874181.0,17747371.0,10810588.0
Total Equity Gross Minority Interest,19903368.0,19874181.0,17747371.0,10810588.0
Stockholders Equity,19903368.0,19874181.0,17747371.0,10810588.0
Gains Losses Not Affecting Retained Earnings,975429.0,637245.0,252673.0,-120722.0
Retained Earnings,12099525.0,12408522.0,11036694.0,3996003.0
Additional Paid In Capital,6823190.0,6823190.0,6452780.0,6930538.0
Capital Stock,5224.0,5224.0,5224.0,4769.0
Common Stock,5224.0,5224.0,5224.0,4769.0
Total Liabilities Net Minority Interest,19216619.0,24854419.0,38485803.0,39942149.0
Total Non Current Liabilities Net Minority Interest,186018.0,243490.0,297968.0,0.0
Other Non Current Liabilities,1.0,,,
Long Term Debt And Capital Lease Obligation,186017.0,243490.0,297968.0,0.0
Long Term Capital Lease Obligation,186017.0,243490.0,297968.0,0.0
Current Liabilities,19030601.0,24610929.0,38187835.0,39942149.0
Other Current Liabilities,17363.0,11584.0,,
Current Deferred Liabilities,11461841.0,17601292.0,25032514.0,37721923.0
Current Deferred Revenue,11461841.0,17601292.0,25032514.0,37721923.0
Current Debt And Capital Lease Obligation,3830679.0,3709359.0,4697291.0,
Current Capital Lease Obligation,241489.0,236169.0,210101.0,0.0
Current Debt,3589190.0,3473190.0,4487190.0,
Current Notes Payable,3589190.0,3473190.0,4487190.0,0.0
Payables And Accrued Expenses,3720718.0,3288694.0,8458030.0,2220226.0
Current Accrued Expenses,2046650.0,1548945.0,1680423.0,227726.0
Interest Payable,206021.0,,,
Payables,1674068.0,1739749.0,6777607.0,1992500.0
Dueto Related Parties Current,,,2414229.0,
Total Tax Payable,1490780.0,1670643.0,2305645.0,1407196.0
Income Tax Payable,768662.0,1339698.0,1392353.0,849174.0
Accounts Payable,183288.0,69106.0,2057733.0,585304.0
Total Assets,39119987.0,44728600.0,56233174.0,50752737.0
Total Non Current Assets,7762594.0,7836840.0,10053107.0,6735029.0
Other Non Current Assets,163482.0,161104.0,2414229.0,
Investments And Advances,,,140459.0,
Long Term Equity Investment,,,140459.0,
Investments In Other Ventures Under Equity Method,,,140459.0,
Goodwill And Other Intangible Assets,2712632.0,2708844.0,2699118.0,2695177.0
Other Intangible Assets,2712632.0,2708844.0,2699118.0,2695177.0
Net PPE,4886480.0,4966892.0,4799301.0,4039852.0
Accumulated Depreciation,,-417009.0,,-115125.0
Gross PPE,4886480.0,5383901.0,4799301.0,4154977.0
Leases,,414708.0,,0.0
Other Properties,4886480.0,636965.0,4799301.0,1784.0
Buildings And Improvements,,4332228.0,,4153193.0
Properties,,0.0,,0.0
Current Assets,31357393.0,36891760.0,46180067.0,44017708.0
Other Current Assets,86207.0,2142564.0,4238691.0,19615.0
Prepaid Assets,729375.0,778753.0,2882415.0,1313695.0
Inventory,850946.0,956407.0,1851687.0,1250701.0
Receivables,0.0,287.0,0.0,845.0
Other Receivables,,,,19615.0
Accounts Receivable,0.0,287.0,0.0,845.0
Cash Cash Equivalents And Short Term Investments,29690865.0,33013749.0,37207274.0,41432852.0
Cash And Cash Equivalents,29690865.0,33013749.0,37207274.0,41432852.0
