,2025-03-31
Ordinary Shares Number,8871281.0
Share Issued,8871281.0
Total Debt,235285.0
Tangible Book Value,3701787.0
Invested Capital,3701787.0
Working Capital,3599821.0
Net Tangible Assets,3701787.0
Capital Lease Obligations,235285.0
Common Stock Equity,3701787.0
Total Capitalization,3701787.0
Total Equity Gross Minority Interest,3701787.0
Stockholders Equity,3701787.0
Gains Losses Not Affecting Retained Earnings,26604.0
Other Equity Adjustments,26604.0
Retained Earnings,-20122627.0
Additional Paid In Capital,23796923.0
Capital Stock,887.0
Common Stock,887.0
Total Liabilities Net Minority Interest,349010.0
Total Non Current Liabilities Net Minority Interest,156551.0
Non Current Accrued Expenses,0.0
Dueto Related Parties Non Current,0.0
Tradeand Other Payables Non Current,0.0
Long Term Debt And Capital Lease Obligation,156551.0
Long Term Capital Lease Obligation,156551.0
Current Liabilities,192459.0
Current Debt And Capital Lease Obligation,78734.0
Current Capital Lease Obligation,78734.0
Payables And Accrued Expenses,113725.0
Current Accrued Expenses,76213.0
Payables,37512.0
Dueto Related Parties Current,37512.0
Total Assets,4050797.0
Total Non Current Assets,258517.0
Net PPE,258517.0
Accumulated Depreciation,-80522.0
Gross PPE,339039.0
Other Properties,228439.0
Machinery Furniture Equipment,110600.0
Current Assets,3792280.0
Current Deferred Assets,0.0
Prepaid Assets,502528.0
Receivables,714527.0
Duefrom Related Parties Current,714527.0
Loans Receivable,0.0
Cash Cash Equivalents And Short Term Investments,2575225.0
Cash And Cash Equivalents,2575225.0
Cash Financial,2575225.0
