,2024-12-31
Ordinary Shares Number,11731995.0
Share Issued,11731995.0
Net Debt,9537218.0
Total Debt,10777848.0
Tangible Book Value,15365989.0
Invested Capital,26193620.0
Working Capital,15167210.0
Net Tangible Assets,15365989.0
Capital Lease Obligations,96690.0
Common Stock Equity,15512462.0
Total Capitalization,15512462.0
Total Equity Gross Minority Interest,15512462.0
Stockholders Equity,15512462.0
Gains Losses Not Affecting Retained Earnings,504042.0
Other Equity Adjustments,504042.0
Retained Earnings,-6825655.0
Additional Paid In Capital,19956956.0
Capital Stock,1877119.0
Common Stock,1877119.0
Total Liabilities Net Minority Interest,29426783.0
Total Non Current Liabilities Net Minority Interest,0.0
Current Liabilities,29426783.0
Current Deferred Liabilities,2700821.0
Current Deferred Revenue,2700821.0
Current Debt And Capital Lease Obligation,10777848.0
Current Capital Lease Obligation,96690.0
Current Debt,10681158.0
Line Of Credit,10681158.0
Payables And Accrued Expenses,15948114.0
Current Accrued Expenses,510823.0
Payables,15437291.0
Dueto Related Parties Current,1662294.0
Total Tax Payable,3147148.0
Income Tax Payable,2169214.0
Accounts Payable,10627849.0
Total Assets,44939245.0
Total Non Current Assets,345252.0
Other Non Current Assets,7097.0
Non Current Deferred Assets,37802.0
Non Current Deferred Taxes Assets,37802.0
Goodwill And Other Intangible Assets,146473.0
Other Intangible Assets,146473.0
Net PPE,153880.0
Accumulated Depreciation,-980543.0
Gross PPE,1134423.0
Leases,191613.0
Other Properties,697540.0
Machinery Furniture Equipment,245270.0
Properties,0.0
Current Assets,44593993.0
Restricted Cash,4531918.0
Prepaid Assets,4168339.0
Inventory,1093582.0
Other Inventories,6279.0
Finished Goods,1087303.0
Receivables,33656214.0
Notes Receivable,6595.0
Accounts Receivable,33649619.0
Allowance For Doubtful Accounts Receivable,0.0
Gross Accounts Receivable,33649619.0
Cash Cash Equivalents And Short Term Investments,1143940.0
Cash And Cash Equivalents,1143940.0
Cash Financial,1143940.0
