,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Ordinary Shares Number,34838000.0,34838000.0,34838000.0,30320000.0
Share Issued,34838000.0,34838000.0,34838000.0,30320000.0
Total Debt,,,,205000.0
Tangible Book Value,272299279.0,270059811.0,264633497.0,-83767.0
Invested Capital,272299279.0,270059811.0,264633497.0,121233.0
Working Capital,419983.0,619619.0,889756.0,-508990.0
Net Tangible Assets,272299279.0,270059811.0,264633497.0,-83767.0
Common Stock Equity,272299279.0,270059811.0,264633497.0,-83767.0
Total Capitalization,272299279.0,270059811.0,264633497.0,-83767.0
Total Equity Gross Minority Interest,272299279.0,270059811.0,264633497.0,-83767.0
Stockholders Equity,272299279.0,270059811.0,264633497.0,-83767.0
Retained Earnings,-16140740.0,-15922354.0,-15614718.0,-108767.0
Additional Paid In Capital,0.0,0.0,0.0,24310.0
Capital Stock,288440019.0,285982165.0,280248215.0,690.0
Common Stock,288440019.0,285982165.0,280248215.0,690.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,16735750.0,16683674.0,16675891.0,3665833.0
Total Non Current Liabilities Net Minority Interest,16560000.0,16560000.0,16560000.0,0.0
Tradeand Other Payables Non Current,16560000.0,16560000.0,16560000.0,
Current Liabilities,175750.0,123674.0,115891.0,3665833.0
Current Deferred Liabilities,,,,3150000.0
Current Debt And Capital Lease Obligation,,,,205000.0
Current Debt,,,,205000.0
Other Current Borrowings,,,,205000.0
Payables And Accrued Expenses,175750.0,123674.0,115891.0,310833.0
Current Accrued Expenses,175750.0,123674.0,115891.0,310833.0
Total Assets,289035029.0,286743485.0,281309388.0,3582066.0
Total Non Current Assets,288439296.0,286000192.0,280303741.0,425223.0
Other Non Current Assets,288439296.0,285981442.0,280247491.0,
Non Current Prepaid Assets,0.0,18750.0,56250.0,
Non Current Deferred Assets,,0.0,0.0,425223.0
Current Assets,595733.0,743293.0,1005647.0,3156843.0
Prepaid Assets,138750.0,78399.0,121324.0,
Cash Cash Equivalents And Short Term Investments,456983.0,664894.0,884323.0,3156843.0
Cash And Cash Equivalents,456983.0,664894.0,884323.0,3156843.0
Cash Financial,456983.0,664894.0,884323.0,3156843.0
