,2026-03-31
Ordinary Shares Number,4303401.0
Share Issued,4303401.0
Tangible Book Value,-3200869.0
Invested Capital,-3200869.0
Working Capital,-3388403.0
Net Tangible Assets,-3200869.0
Common Stock Equity,-3200869.0
Total Capitalization,-3200869.0
Total Equity Gross Minority Interest,-3200869.0
Stockholders Equity,-3200869.0
Retained Earnings,-3848213.0
Capital Stock,647344.0
Common Stock,647344.0
Preferred Stock,0.0
Total Liabilities Net Minority Interest,3927905.0
Total Non Current Liabilities Net Minority Interest,525255.0
Derivative Product Liabilities,525255.0
Current Liabilities,3402650.0
Current Deferred Liabilities,433190.0
Payables And Accrued Expenses,2969460.0
Current Accrued Expenses,2852415.0
Payables,117045.0
Dueto Related Parties Current,28771.0
Total Tax Payable,88274.0
Income Tax Payable,77905.0
Total Assets,727036.0
Total Non Current Assets,712789.0
Other Non Current Assets,712789.0
Current Assets,14247.0
Prepaid Assets,990.0
Receivables,8186.0
Duefrom Related Parties Current,8186.0
Cash Cash Equivalents And Short Term Investments,5071.0
Cash And Cash Equivalents,5071.0
Cash Financial,5071.0
