,2025-09-30,2025-03-31
Ordinary Shares Number,14500000.0,14500000.0
Share Issued,14500000.0,14500000.0
Total Debt,9469501.0,8688444.0
Tangible Book Value,27091337.0,24767714.0
Invested Capital,30743663.0,28001913.0
Working Capital,18636749.0,15322875.0
Net Tangible Assets,27091337.0,24767714.0
Capital Lease Obligations,5817175.0,5454245.0
Common Stock Equity,27091337.0,24767714.0
Total Capitalization,30088448.0,27601897.0
Total Equity Gross Minority Interest,27091337.0,24767714.0
Stockholders Equity,27091337.0,24767714.0
Gains Losses Not Affecting Retained Earnings,-371722.0,-61042.0
Other Equity Adjustments,-371722.0,-61042.0
Retained Earnings,16078481.0,13444178.0
Additional Paid In Capital,11382600.0,11382600.0
Capital Stock,1978.0,1978.0
Common Stock,1978.0,1978.0
Total Liabilities Net Minority Interest,22001331.0,18923748.0
Total Non Current Liabilities Net Minority Interest,7146653.0,6792496.0
Non Current Deferred Liabilities,1446.0,1446.0
Non Current Deferred Taxes Liabilities,1446.0,1446.0
Long Term Debt And Capital Lease Obligation,7145207.0,6791050.0
Long Term Capital Lease Obligation,4148096.0,3956867.0
Long Term Debt,2997111.0,2834183.0
Current Liabilities,14854678.0,12131252.0
Current Deferred Liabilities,793471.0,454005.0
Current Deferred Taxes Liabilities,793471.0,454005.0
Current Debt And Capital Lease Obligation,2324294.0,1897394.0
Current Capital Lease Obligation,1669079.0,1497378.0
Current Debt,655215.0,400016.0
Other Current Borrowings,655215.0,400016.0
Payables And Accrued Expenses,11736913.0,9779853.0
Current Accrued Expenses,1689646.0,1952121.0
Payables,10047267.0,7827732.0
Other Payable,215981.0,256229.0
Accounts Payable,9831286.0,7571503.0
Total Assets,49092668.0,43691462.0
Total Non Current Assets,15601241.0,16237335.0
Non Current Note Receivables,4181320.0,5180380.0
Investments And Advances,230598.0,236771.0
Net PPE,11189323.0,10820184.0
Accumulated Depreciation,-7938380.0,-7262343.0
Gross PPE,19127703.0,18082527.0
Other Properties,7092973.0,6336278.0
Machinery Furniture Equipment,3559272.0,3458241.0
Buildings And Improvements,8475458.0,8288008.0
Properties,0.0,0.0
Current Assets,33491427.0,27454127.0
Current Deferred Assets,,0.0
Prepaid Assets,5325509.0,236811.0
Inventory,8997323.0,7578048.0
Inventories Adjustments Allowances,-796632.0,-791609.0
Other Inventories,9020519.0,7472866.0
Finished Goods,773436.0,896791.0
Receivables,13242338.0,12992480.0
Other Receivables,16912.0,1445462.0
Accounts Receivable,13225426.0,11547018.0
Allowance For Doubtful Accounts Receivable,-983746.0,-1109571.0
Gross Accounts Receivable,14209172.0,12656589.0
Cash Cash Equivalents And Short Term Investments,5926257.0,6646788.0
Cash And Cash Equivalents,5926257.0,6646788.0
