,2025-06-30,2025-03-31
Ordinary Shares Number,2859426766.0,2859426766.0
Share Issued,2859426766.0,2859426766.0
Net Debt,274521000.0,284850000.0
Total Debt,280854000.0,293247000.0
Tangible Book Value,-1828113000.0,-1793222000.0
Invested Capital,-1551934000.0,-1507740000.0
Working Capital,-445766000.0,-435347000.0
Net Tangible Assets,-1528263000.0,-1498858000.0
Capital Lease Obligations,4675000.0,7765000.0
Common Stock Equity,-1828113000.0,-1793222000.0
Preferred Stock Equity,299850000.0,294364000.0
Total Capitalization,-1528263000.0,-1498858000.0
Total Equity Gross Minority Interest,-1498643000.0,-1468914000.0
Minority Interest,29620000.0,29944000.0
Stockholders Equity,-1528263000.0,-1498858000.0
Gains Losses Not Affecting Retained Earnings,-99238000.0,-99349000.0
Other Equity Adjustments,-99238000.0,-99349000.0
Retained Earnings,-1775912000.0,-1740910000.0
Additional Paid In Capital,47006000.0,47006000.0
Capital Stock,299881000.0,294395000.0
Common Stock,31000.0,31000.0
Preferred Stock,299850000.0,294364000.0
Total Liabilities Net Minority Interest,1554216000.0,1526047000.0
Total Non Current Liabilities Net Minority Interest,1063038000.0,1045724000.0
Preferred Securities Outside Stock Equity,1049310000.0,1031417000.0
Non Current Deferred Liabilities,12205000.0,12053000.0
Non Current Deferred Revenue,12205000.0,12053000.0
Long Term Debt And Capital Lease Obligation,1523000.0,2254000.0
Long Term Capital Lease Obligation,1523000.0,2254000.0
Current Liabilities,491178000.0,480323000.0
Other Current Liabilities,20903000.0,14001000.0
Current Deferred Liabilities,85875000.0,85881000.0
Current Deferred Revenue,85875000.0,85881000.0
Current Debt And Capital Lease Obligation,279331000.0,290993000.0
Current Capital Lease Obligation,3152000.0,5511000.0
Current Debt,276179000.0,285482000.0
Other Current Borrowings,266479000.0,259022000.0
Line Of Credit,9700000.0,5500000.0
Current Notes Payable,,20960000.0
Payables And Accrued Expenses,105069000.0,89448000.0
Current Accrued Expenses,95500000.0,73225000.0
Payables,9569000.0,16223000.0
Other Payable,,33170000.0
Dueto Related Parties Current,3579000.0,6668000.0
Total Tax Payable,,3015000.0
Accounts Payable,5990000.0,6540000.0
Total Assets,55573000.0,57133000.0
Total Non Current Assets,10161000.0,12157000.0
Other Non Current Assets,2693000.0,667000.0
Non Current Prepaid Assets,,2043000.0
Net PPE,7468000.0,9447000.0
Accumulated Depreciation,,-7200000.0
Gross PPE,7468000.0,16647000.0
Leases,,4969000.0
Other Properties,7468000.0,2920000.0
Machinery Furniture Equipment,,8758000.0
Properties,,0.0
Current Assets,45412000.0,44976000.0
Other Current Assets,38915000.0,2007000.0
Current Deferred Assets,,17998000.0
Prepaid Assets,,2280000.0
Inventory,876000.0,270000.0
Receivables,3963000.0,21789000.0
Receivables Adjustments Allowances,,-9820000.0
Other Receivables,,27088000.0
Duefrom Related Parties Current,3422000.0,3431000.0
Loans Receivable,3422000.0,3431000.0
Accounts Receivable,541000.0,1090000.0
Allowance For Doubtful Accounts Receivable,,-10000.0
Gross Accounts Receivable,,1100000.0
Cash Cash Equivalents And Short Term Investments,1658000.0,632000.0
Cash And Cash Equivalents,1658000.0,632000.0
Cash Financial,1658000.0,632000.0
