,2025-09-30,2025-03-31
Ordinary Shares Number,6279843.0,4822917.0
Share Issued,6279843.0,4822917.0
Tangible Book Value,31265711.06,82841847.46
Net Tangible Assets,31265711.06,82841847.46
Common Stock Equity,31281386.63,82841847.46
Total Equity Gross Minority Interest,31281386.63,82841847.46
Stockholders Equity,31281386.63,82841847.46
Retained Earnings,15398660.07,71266846.02
Additional Paid In Capital,9587904.86,6737105.74
Capital Stock,6279843.0,4822917.0
Common Stock,6279843.0,4822917.0
Total Liabilities Net Minority Interest,34238048.32,293249.44
Payables,30847822.6,36941.99
Other Payable,29799945.04,
Total Tax Payable,721636.47,15840.69
Accounts Payable,326241.09,21101.3
Total Assets,65519434.95,83135096.9
Investments And Advances,51914166.33,82600280.0
Investmentin Financial Assets,2788416.16,
Available For Sale Securities,2788416.16,
Long Term Equity Investment,49125750.17,82600280.0
Goodwill And Other Intangible Assets,15675.57,
Net PPE,72106.18,
Receivables,1937641.84,0.0
Cash And Cash Equivalents,8473901.33,377232.45
Cash Financial,8473901.33,377232.45
Cash Cash Equivalents And Federal Funds Sold,8473901.33,377232.45
