,2025-06-30,2024-12-31
Treasury Shares Number,,3742873.0
Ordinary Shares Number,610343504.0,610343504.0
Share Issued,610343504.0,614086377.0
Net Debt,,1029000000.0
Total Debt,1481300000.0,1467700000.0
Tangible Book Value,-1094600000.0,-801400000.0
Invested Capital,-110500000.0,1458300000.0
Working Capital,-351600000.0,-565500000.0
Net Tangible Assets,-1094600000.0,-801400000.0
Capital Lease Obligations,,194200000.0
Common Stock Equity,-110500000.0,184800000.0
Total Capitalization,-110500000.0,1301900000.0
Total Equity Gross Minority Interest,-68400000.0,220900000.0
Minority Interest,42100000.0,36100000.0
Stockholders Equity,-110500000.0,184800000.0
Treasury Stock,4200000.0,4300000.0
Retained Earnings,-1541900000.0,-1284900000.0
Additional Paid In Capital,533600000.0,533800000.0
Capital Stock,30700000.0,30700000.0
Common Stock,30700000.0,30700000.0
Total Liabilities Net Minority Interest,3065200000.0,3017600000.0
Total Non Current Liabilities Net Minority Interest,1589000000.0,1609700000.0
Other Non Current Liabilities,117900000.0,
Derivative Product Liabilities,16200000.0,3400000.0
Non Current Pension And Other Postretirement Benefit Plans,7700000.0,11600000.0
Tradeand Other Payables Non Current,,33800000.0
Non Current Deferred Revenue,,83100000.0
Non Current Deferred Taxes Liabilities,54000000.0,46800000.0
Long Term Debt And Capital Lease Obligation,1228400000.0,1258800000.0
Long Term Capital Lease Obligation,,141700000.0
Long Term Debt,,1117100000.0
Long Term Provisions,164800000.0,172200000.0
Current Liabilities,1476200000.0,1407900000.0
Current Debt And Capital Lease Obligation,252900000.0,208900000.0
Current Capital Lease Obligation,,52500000.0
Current Debt,,156400000.0
Current Provisions,111400000.0,115800000.0
Payables,874600000.0,612500000.0
Other Payable,,251600000.0
Total Tax Payable,18000000.0,63000000.0
Accounts Payable,856600000.0,297900000.0
Total Assets,2996800000.0,3238500000.0
Total Non Current Assets,1872200000.0,2396100000.0
Defined Pension Benefit,100000.0,100000.0
Non Current Prepaid Assets,,4700000.0
Non Current Deferred Taxes Assets,700000.0,0.0
Financial Assets,0.0,200000.0
Investmentin Financial Assets,8500000.0,25000000.0
Available For Sale Securities,8500000.0,25000000.0
Long Term Equity Investment,4000000.0,6500000.0
Investmentsin Joint Venturesat Cost,,2100000.0
Investmentsin Associatesat Cost,,4400000.0
Goodwill And Other Intangible Assets,984100000.0,986200000.0
Other Intangible Assets,,200900000.0
Goodwill,,785300000.0
Net PPE,713200000.0,1193600000.0
Accumulated Depreciation,,-1558400000.0
Gross PPE,,2752000000.0
Machinery Furniture Equipment,,2315100000.0
Land And Improvements,,436900000.0
Properties,,0.0
Current Assets,1124600000.0,842400000.0
Hedging Assets Current,23300000.0,12600000.0
Assets Held For Sale Current,374100000.0,0.0
Prepaid Assets,,36400000.0
Inventory,18700000.0,34000000.0
Raw Materials,,34000000.0
Other Receivables,,217600000.0
Taxes Receivable,1900000.0,600000.0
Accounts Receivable,504300000.0,293500000.0
Cash Cash Equivalents And Short Term Investments,197800000.0,244500000.0
Cash And Cash Equivalents,197800000.0,244500000.0
Cash Equivalents,4400000.0,115100000.0
Cash Financial,193400000.0,129400000.0
