,2025-09-30
Ordinary Shares Number,759084905.0
Share Issued,759084905.0
Net Debt,3576023000.0
Total Debt,4901318000.0
Tangible Book Value,-1952808000.0
Invested Capital,4675791000.0
Working Capital,-574040000.0
Net Tangible Assets,-1952808000.0
Capital Lease Obligations,1022436000.0
Common Stock Equity,796909000.0
Total Capitalization,4675791000.0
Total Equity Gross Minority Interest,796909000.0
Stockholders Equity,796909000.0
Other Equity Interest,67927000.0
Retained Earnings,-720095000.0
Additional Paid In Capital,1419751000.0
Capital Stock,8971000.0
Common Stock,8971000.0
Total Liabilities Net Minority Interest,7298321000.0
Total Non Current Liabilities Net Minority Interest,5466872000.0
Tradeand Other Payables Non Current,736351000.0
Long Term Debt And Capital Lease Obligation,4571757000.0
Long Term Capital Lease Obligation,692875000.0
Long Term Debt,3878882000.0
Long Term Provisions,158764000.0
Current Liabilities,1831449000.0
Current Debt And Capital Lease Obligation,329561000.0
Current Capital Lease Obligation,329561000.0
Current Provisions,192182000.0
Payables,1309706000.0
Other Payable,38004000.0
Accounts Payable,1271702000.0
Total Assets,8095230000.0
Total Non Current Assets,6837821000.0
Other Investments,1462000.0
Long Term Equity Investment,481723000.0
Investmentsin Associatesat Cost,481723000.0
Goodwill And Other Intangible Assets,2749717000.0
Other Intangible Assets,1825693000.0
Goodwill,924024000.0
Net PPE,3403122000.0
Current Assets,1257409000.0
Assets Held For Sale Current,107698000.0
Inventory,46069000.0
Accounts Receivable,800783000.0
Cash Cash Equivalents And Short Term Investments,302859000.0
Cash And Cash Equivalents,302859000.0
