,2025-12-31,2024-12-31
Treasury Shares Number,53946.0,46406.0
Ordinary Shares Number,5252720.0,5260260.0
Share Issued,5306666.0,5306666.0
Net Debt,,3052000.0
Total Debt,4430000.0,10072000.0
Tangible Book Value,19772000.0,16493000.0
Invested Capital,23794000.0,25287000.0
Working Capital,17323000.0,15612000.0
Net Tangible Assets,19772000.0,16493000.0
Capital Lease Obligations,408000.0,1278000.0
Common Stock Equity,19772000.0,16493000.0
Total Capitalization,22642000.0,23959000.0
Total Equity Gross Minority Interest,19772000.0,16493000.0
Stockholders Equity,19772000.0,16493000.0
Gains Losses Not Affecting Retained Earnings,-76000.0,-128000.0
Other Equity Adjustments,-76000.0,-128000.0
Treasury Stock,75000.0,66000.0
Retained Earnings,4394000.0,1158000.0
Additional Paid In Capital,15508000.0,15508000.0
Capital Stock,21000.0,21000.0
Common Stock,21000.0,21000.0
Total Liabilities Net Minority Interest,13212000.0,18621000.0
Total Non Current Liabilities Net Minority Interest,3154000.0,8552000.0
Non Current Deferred Liabilities,67000.0,100000.0
Non Current Deferred Taxes Liabilities,67000.0,100000.0
Long Term Debt And Capital Lease Obligation,3087000.0,8452000.0
Long Term Capital Lease Obligation,217000.0,986000.0
Long Term Debt,2870000.0,7466000.0
Current Liabilities,10058000.0,10069000.0
Other Current Liabilities,113000.0,479000.0
Current Deferred Liabilities,5815000.0,6660000.0
Current Deferred Revenue,5815000.0,6660000.0
Current Debt And Capital Lease Obligation,1343000.0,1620000.0
Current Capital Lease Obligation,191000.0,292000.0
Current Debt,1152000.0,1328000.0
Other Current Borrowings,1152000.0,1328000.0
Current Provisions,22000.0,22000.0
Payables And Accrued Expenses,2765000.0,1288000.0
Payables,2765000.0,1288000.0
Other Payable,698000.0,594000.0
Total Tax Payable,205000.0,89000.0
Income Tax Payable,205000.0,89000.0
Accounts Payable,1862000.0,605000.0
Total Assets,32984000.0,35114000.0
Total Non Current Assets,5603000.0,9433000.0
Other Non Current Assets,47000.0,3163000.0
Non Current Deferred Assets,74000.0,74000.0
Non Current Deferred Taxes Assets,74000.0,74000.0
Investments And Advances,764000.0,506000.0
Investmentin Financial Assets,764000.0,506000.0
Available For Sale Securities,764000.0,506000.0
Net PPE,4718000.0,5690000.0
Accumulated Depreciation,-5609000.0,-8023000.0
Gross PPE,10327000.0,13713000.0
Leases,1008000.0,910000.0
Other Properties,1772000.0,2592000.0
Machinery Furniture Equipment,4599000.0,7263000.0
Buildings And Improvements,2948000.0,2948000.0
Properties,0.0,0.0
Current Assets,27381000.0,25681000.0
Other Current Assets,837000.0,2451000.0
Current Deferred Assets,0.0,356000.0
Inventory,9202000.0,12644000.0
Finished Goods,562000.0,813000.0
Work In Process,2920000.0,2536000.0
Raw Materials,5720000.0,9295000.0
Receivables,7411000.0,4488000.0
Accounts Receivable,7411000.0,4488000.0
Allowance For Doubtful Accounts Receivable,-78000.0,-78000.0
Gross Accounts Receivable,7489000.0,4566000.0
Cash Cash Equivalents And Short Term Investments,9931000.0,5742000.0
Cash And Cash Equivalents,9931000.0,5742000.0
