,2025-09-30,2025-03-31
Ordinary Shares Number,5963920.0,1097201.0
Share Issued,5963920.0,1097201.0
Net Debt,20561620.0,23565629.0
Total Debt,25636322.0,25347013.0
Tangible Book Value,2115454.0,-2442926.0
Invested Capital,32636136.0,27944321.0
Working Capital,-21360903.0,-21437976.0
Net Tangible Assets,2115454.0,-2442926.0
Capital Lease Obligations,0.0,81750.0
Common Stock Equity,6999814.0,2679058.0
Total Capitalization,9387790.0,4332702.0
Total Equity Gross Minority Interest,10961335.0,5809471.0
Minority Interest,3961521.0,3130413.0
Stockholders Equity,6999814.0,2679058.0
Gains Losses Not Affecting Retained Earnings,-730840.0,268261.0
Other Equity Adjustments,-730840.0,268261.0
Retained Earnings,-28543211.0,-23706893.0
Additional Paid In Capital,36124066.0,26114643.0
Capital Stock,149799.0,3047.0
Common Stock,149799.0,3047.0
Preferred Stock,,0.0
Total Liabilities Net Minority Interest,42286411.0,46786552.0
Total Non Current Liabilities Net Minority Interest,2550957.0,1945473.0
Tradeand Other Payables Non Current,162981.0,276349.0
Non Current Deferred Liabilities,,15480.0
Non Current Deferred Taxes Liabilities,,15480.0
Long Term Debt And Capital Lease Obligation,2387976.0,1653644.0
Long Term Debt,2387976.0,1653644.0
Current Liabilities,39735454.0,44841079.0
Current Deferred Liabilities,1752894.0,1415552.0
Current Deferred Revenue,1752894.0,1415552.0
Current Deferred Taxes Liabilities,0.0,0.0
Current Debt And Capital Lease Obligation,23248346.0,23693369.0
Current Capital Lease Obligation,0.0,81750.0
Current Debt,23248346.0,23611619.0
Other Current Borrowings,23248346.0,23611619.0
Payables And Accrued Expenses,14734214.0,19732158.0
Current Accrued Expenses,248125.0,5421144.0
Interest Payable,248125.0,
Payables,14486089.0,14311014.0
Other Payable,1159533.0,
Dueto Related Parties Current,5142781.0,5626906.0
Total Tax Payable,108915.0,
Accounts Payable,8074860.0,8684108.0
Total Assets,53247746.0,52596023.0
Total Non Current Assets,34873195.0,29192920.0
Other Non Current Assets,310437.0,
Goodwill And Other Intangible Assets,4884360.0,5121984.0
Other Intangible Assets,4884360.0,5121984.0
Net PPE,29678398.0,24070936.0
Accumulated Depreciation,-11174074.0,
Gross PPE,40852472.0,24070936.0
Leases,1417481.0,
Construction In Progress,1539486.0,
Other Properties,1659397.0,24070936.0
Machinery Furniture Equipment,16109839.0,
Buildings And Improvements,20126269.0,
Properties,0.0,
Current Assets,18374551.0,23403103.0
Restricted Cash,0.0,304546.0
Prepaid Assets,1668549.0,6916214.0
Inventory,6349333.0,8648300.0
Inventories Adjustments Allowances,-2588393.0,
Finished Goods,3179740.0,
Raw Materials,5757986.0,
Receivables,5281967.0,5834409.0
Other Receivables,527009.0,638331.0
Duefrom Related Parties Current,570086.0,0.0
Taxes Receivable,665958.0,515438.0
Accounts Receivable,3518914.0,4680640.0
Allowance For Doubtful Accounts Receivable,-563934.0,-530999.0
Gross Accounts Receivable,4082848.0,5211639.0
Cash Cash Equivalents And Short Term Investments,5074702.0,1699634.0
Cash And Cash Equivalents,5074702.0,1699634.0
