,2025-12-31,2025-06-30
Ordinary Shares Number,169329111.0,75288640.0
Share Issued,169329111.0,75288640.0
Net Debt,,5261000.0
Total Debt,,77551000.0
Tangible Book Value,565209000.0,274482510.85927
Invested Capital,565209000.0,274482510.85927
Working Capital,63622000.0,29114602.044482
Net Tangible Assets,565209000.0,274482510.85927
Common Stock Equity,565209000.0,274482510.85927
Total Capitalization,565209000.0,274482510.85927
Total Equity Gross Minority Interest,565209000.0,310556190.600607
Minority Interest,0.0,36073679.741337
Stockholders Equity,565209000.0,274482510.85927
Other Equity Interest,,1917763.480192
Gains Losses Not Affecting Retained Earnings,-66007000.0,-2420065.972109
Other Equity Adjustments,,1231000.0
Foreign Currency Translation Adjustments,,-1306378.392501
Unrealized Gain Loss,,-1113687.579607
Retained Earnings,-197237000.0,-269590776.968549
Capital Stock,828453000.0,544575590.319736
Common Stock,828453000.0,544575590.319736
Total Liabilities Net Minority Interest,137362000.0,115789542.440968
Total Non Current Liabilities Net Minority Interest,42908000.0,38395767.334008
Other Non Current Liabilities,13072000.0,9644338.482641
Non Current Deferred Liabilities,9465000.0,9499330.481074
Non Current Deferred Revenue,,0.0
Non Current Deferred Taxes Liabilities,9465000.0,9499330.481074
Long Term Debt And Capital Lease Obligation,,14765000.0
Long Term Debt,,14765000.0
Long Term Provisions,20371000.0,19252098.370293
Current Liabilities,94454000.0,77393775.10696
Other Current Liabilities,67329000.0,41011136.875796
Current Debt And Capital Lease Obligation,,62786000.0
Current Debt,,62786000.0
Other Current Borrowings,,62786000.0
Pensionand Other Post Retirement Benefit Plans Current,2823000.0,3979228.583559
Payables And Accrued Expenses,24302000.0,32403409.647604
Current Accrued Expenses,11912000.0,12620268.46076
Payables,12390000.0,19783141.186845
Other Payable,2196000.0,1638851.693393
Dueto Related Parties Current,,0.0
Accounts Payable,10194000.0,18144289.493452
Total Assets,702571000.0,426345733.041575
Total Non Current Assets,544495000.0,319837355.890134
Other Non Current Assets,6574000.0,7153074.888141
Non Current Prepaid Assets,17907000.0,
Investments And Advances,6804000.0,657761.520624
Investmentin Financial Assets,6804000.0,1007000.0
Available For Sale Securities,6804000.0,
Trading Securities,,1007000.0
Long Term Equity Investment,,657761.520624
Investmentsin Joint Venturesat Cost,,657761.520624
Net PPE,513210000.0,312026519.481368
Accumulated Depreciation,-82799000.0,-234784284.267938
Gross PPE,596009000.0,546810803.749306
Construction In Progress,36672000.0,23576210.849473
Other Properties,73034000.0,36190600.607466
Machinery Furniture Equipment,241778000.0,242750579.705412
Land And Improvements,,55406000.0
Properties,,422667000.0
Current Assets,158076000.0,106508377.151442
Other Current Assets,7406000.0,5601097.35785
Current Deferred Assets,,1645000.0
Current Deferred Taxes Assets,,1645000.0
Inventory,44153000.0,30909565.955779
Finished Goods,27508000.0,13601358.633528
Work In Process,7889000.0,8443123.550736
Raw Materials,8756000.0,8865083.771514
Receivables,25332000.0,22778666.84085
Other Receivables,,259969.300108
Taxes Receivable,3091000.0,7460726.999575
Accounts Receivable,22241000.0,15057970.541167
Gross Accounts Receivable,,23053000.0
Cash Cash Equivalents And Short Term Investments,81185000.0,47219046.996963
Cash And Cash Equivalents,81185000.0,47219046.996963
Cash Equivalents,,653189.196251
Cash Financial,,46565857.800712
