,2026-03-31,2025-09-30
Ordinary Shares Number,20066667.0,20066667.0
Share Issued,20066667.0,20066667.0
Tangible Book Value,400672.0,175000.0
Invested Capital,400672.0,175000.0
Working Capital,-698547.0,-30061.0
Net Tangible Assets,400672.0,175000.0
Common Stock Equity,400672.0,175000.0
Total Capitalization,400672.0,175000.0
Total Equity Gross Minority Interest,400672.0,175000.0
Stockholders Equity,400672.0,175000.0
Retained Earnings,-44328.0,0.0
Additional Paid In Capital,444418.0,174227.0
Capital Stock,582.0,773.0
Common Stock,582.0,773.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,698547.0,37828.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,698547.0,37828.0
Payables And Accrued Expenses,698547.0,37828.0
Current Accrued Expenses,561962.0,37828.0
Payables,136585.0,
Dueto Related Parties Current,136585.0,
Total Assets,1099219.0,212828.0
Total Non Current Assets,1099219.0,205061.0
Non Current Deferred Assets,1099219.0,205061.0
Current Assets,0.0,7767.0
Prepaid Assets,0.0,7767.0
