,2025-09-30
Ordinary Shares Number,16462500.0
Share Issued,16462500.0
Total Debt,5004158.0
Tangible Book Value,24527027.0
Invested Capital,28513499.0
Working Capital,23015248.0
Net Tangible Assets,24527027.0
Capital Lease Obligations,1017686.0
Common Stock Equity,24527027.0
Total Capitalization,24527027.0
Total Equity Gross Minority Interest,24527027.0
Stockholders Equity,24527027.0
Gains Losses Not Affecting Retained Earnings,10000000.0
Other Equity Adjustments,10000000.0
Retained Earnings,-82884856.0
Additional Paid In Capital,97399073.0
Capital Stock,12810.0
Common Stock,12810.0
Total Liabilities Net Minority Interest,10331518.0
Total Non Current Liabilities Net Minority Interest,450145.0
Long Term Debt And Capital Lease Obligation,450145.0
Long Term Capital Lease Obligation,450145.0
Current Liabilities,9881373.0
Current Deferred Liabilities,2069373.0
Current Deferred Revenue,2069373.0
Current Deferred Taxes Liabilities,0.0
Current Debt And Capital Lease Obligation,4554013.0
Current Capital Lease Obligation,567541.0
Current Debt,3986472.0
Other Current Borrowings,3986472.0
Payables And Accrued Expenses,3257987.0
Current Accrued Expenses,938572.0
Payables,2319415.0
Dueto Related Parties Current,1955665.0
Total Tax Payable,0.0
Accounts Payable,363750.0
Total Assets,34858545.0
Total Non Current Assets,1961924.0
Non Current Prepaid Assets,179276.0
Goodwill And Other Intangible Assets,0.0
Goodwill,0.0
Net PPE,1782648.0
Accumulated Depreciation,-1324743.0
Gross PPE,3107391.0
Machinery Furniture Equipment,1473034.0
Buildings And Improvements,1634357.0
Properties,0.0
Current Assets,32896621.0
Current Deferred Assets,752367.0
Prepaid Assets,107500.0
Receivables,1117740.0
Duefrom Related Parties Current,42800.0
Accounts Receivable,1074940.0
Allowance For Doubtful Accounts Receivable,-965612.0
Gross Accounts Receivable,2040552.0
Cash Cash Equivalents And Short Term Investments,30919014.0
Cash And Cash Equivalents,30919014.0
