,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Ordinary Shares Number,7635871.0,7635871.0,6250000.0,6250000.0
Share Issued,7635871.0,7635871.0,6250000.0,6250000.0
Net Debt,,,358618.0,346618.0
Total Debt,,,359618.0,346618.0
Tangible Book Value,59067559.0,58742329.0,-89478.0,-67478.0
Invested Capital,59067559.0,58742329.0,270140.0,279140.0
Working Capital,219797.0,379066.0,-368618.0,
Net Tangible Assets,59067559.0,58742329.0,-89478.0,-67478.0
Common Stock Equity,59067559.0,58742329.0,-89478.0,-67478.0
Total Capitalization,59067559.0,58742329.0,-89478.0,-67478.0
Total Equity Gross Minority Interest,59067559.0,58742329.0,-89478.0,-67478.0
Stockholders Equity,59067559.0,58742329.0,-89478.0,-67478.0
Retained Earnings,0.0,313669.0,-114478.0,-92478.0
Additional Paid In Capital,4045909.0,5449729.0,24856.0,24856.0
Capital Stock,55021650.0,52978931.0,144.0,144.0
Common Stock,55021650.0,52978931.0,144.0,144.0
Total Liabilities Net Minority Interest,21800.0,550.0,369618.0,346618.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0
Current Liabilities,21800.0,550.0,369618.0,346618.0
Current Debt And Capital Lease Obligation,,,359618.0,346618.0
Current Debt,,,359618.0,346618.0
Other Current Borrowings,,,359618.0,346618.0
Payables And Accrued Expenses,21800.0,550.0,10000.0,0.0
Current Accrued Expenses,21800.0,550.0,10000.0,0.0
Total Assets,59089359.0,58742879.0,280140.0,279140.0
Total Non Current Assets,58847762.0,58363263.0,279140.0,279140.0
Other Non Current Assets,58847762.0,58363263.0,,
Non Current Deferred Assets,,0.0,279140.0,279140.0
Current Assets,241597.0,379616.0,1000.0,
Prepaid Assets,183548.0,267482.0,,
Cash Cash Equivalents And Short Term Investments,58049.0,112134.0,1000.0,
Cash And Cash Equivalents,58049.0,112134.0,1000.0,
Cash Financial,58049.0,112134.0,,
