,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,2681250.0,2681250.0,2718750.0
Share Issued,2681250.0,2681250.0,2718750.0
Net Debt,,,102506.0
Total Debt,482719.0,204944.0,254790.0
Tangible Book Value,5055425.0,7673744.0,-4459722.0
Invested Capital,5220354.0,7865473.0,-4240744.0
Working Capital,4215760.0,7762963.0,-4384999.0
Net Tangible Assets,5055425.0,7673744.0,-4459722.0
Capital Lease Obligations,317790.0,13215.0,35812.0
Common Stock Equity,5055425.0,7673744.0,-4459722.0
Total Capitalization,5181626.0,7817591.0,-4295994.0
Total Equity Gross Minority Interest,5055425.0,7673744.0,-4459722.0
Stockholders Equity,5055425.0,7673744.0,-4459722.0
Gains Losses Not Affecting Retained Earnings,348542.0,268508.0,-1594.0
Other Equity Adjustments,348542.0,268508.0,-1594.0
Retained Earnings,-9234500.0,-6536147.0,-4561053.0
Additional Paid In Capital,13912778.0,13912778.0,78722.0
Capital Stock,28605.0,28605.0,24203.0
Common Stock,28605.0,28605.0,24203.0
Total Liabilities Net Minority Interest,3449172.0,3147718.0,6204757.0
Total Non Current Liabilities Net Minority Interest,333758.0,143847.0,163728.0
Long Term Debt And Capital Lease Obligation,333758.0,143847.0,163728.0
Long Term Capital Lease Obligation,207557.0,0.0,0.0
Long Term Debt,126201.0,143847.0,163728.0
Current Liabilities,3115414.0,3003871.0,6041029.0
Current Debt And Capital Lease Obligation,148961.0,61097.0,91062.0
Current Capital Lease Obligation,110233.0,13215.0,35812.0
Current Debt,38728.0,47882.0,55250.0
Other Current Borrowings,38728.0,47882.0,55250.0
Payables And Accrued Expenses,2966453.0,2942774.0,5949967.0
Current Accrued Expenses,22582.0,82.0,82.0
Payables,2943871.0,2942692.0,5949885.0
Other Payable,8044.0,8042.0,323889.0
Dueto Related Parties Current,2934650.0,2934650.0,5625996.0
Accounts Payable,1177.0,,0.0
Total Assets,8504597.0,10821462.0,1745035.0
Total Non Current Assets,1173423.0,54628.0,89005.0
Non Current Prepaid Assets,779173.0,,0.0
Investments And Advances,0.0,0.0,0.0
Long Term Equity Investment,0.0,0.0,0.0
Net PPE,394250.0,54628.0,89005.0
Accumulated Depreciation,-185718.0,-165265.0,-149195.0
Gross PPE,579968.0,219893.0,238200.0
Other Properties,141098.0,96098.0,96098.0
Machinery Furniture Equipment,122145.0,113528.0,111162.0
Buildings And Improvements,316725.0,10267.0,30940.0
Properties,0.0,0.0,0.0
Current Assets,7331174.0,10766834.0,1656030.0
Other Current Assets,3666.0,27192.0,
Current Deferred Assets,0.0,0.0,1272202.0
Prepaid Assets,3953876.0,6401733.0,146152.0
Inventory,0.0,0.0,1730.0
Receivables,255950.0,234247.0,119474.0
Duefrom Related Parties Current,237732.0,221452.0,93085.0
Accounts Receivable,18218.0,12795.0,26389.0
Allowance For Doubtful Accounts Receivable,-49147.0,-49147.0,-49147.0
Gross Accounts Receivable,67365.0,61942.0,75536.0
Cash Cash Equivalents And Short Term Investments,3117682.0,4103662.0,116472.0
Cash And Cash Equivalents,3117682.0,4103662.0,116472.0
