,2025-12-31,2024-12-31
Treasury Shares Number,4056101.0,3222257.0
Ordinary Shares Number,60153496.0,60987340.0
Share Issued,64209597.0,64209597.0
Net Debt,187760000.0,177070000.0
Total Debt,203523000.0,193397000.0
Tangible Book Value,370554000.0,352256000.0
Invested Capital,796673000.0,767621000.0
Net Tangible Assets,370554000.0,352256000.0
Common Stock Equity,597014000.0,579356000.0
Total Capitalization,796673000.0,767621000.0
Total Equity Gross Minority Interest,597014000.0,579356000.0
Stockholders Equity,597014000.0,579356000.0
Retained Earnings,52984000.0,29196000.0
Additional Paid In Capital,543129000.0,549757000.0
Capital Stock,601000.0,610000.0
Common Stock,601000.0,610000.0
Total Liabilities Net Minority Interest,254530000.0,232979000.0
Derivative Product Liabilities,0.0,1467000.0
Long Term Debt And Capital Lease Obligation,203523000.0,193397000.0
Payables,21116000.0,16282000.0
Other Payable,21116000.0,16282000.0
Total Tax Payable,,0.0
Total Assets,851544000.0,812335000.0
Investments And Advances,536840000.0,503599000.0
Investmentin Financial Assets,536840000.0,503599000.0
Available For Sale Securities,300098000.0,309423000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,236054000.0,194176000.0
Goodwill And Other Intangible Assets,226460000.0,227100000.0
Other Intangible Assets,1920000.0,2560000.0
Goodwill,224540000.0,224540000.0
Net PPE,4679000.0,6009000.0
Accumulated Depreciation,-4901000.0,-3121000.0
Gross PPE,9580000.0,9130000.0
Prepaid Assets,26702000.0,17730000.0
Receivables,37689000.0,42885000.0
Taxes Receivable,7275000.0,561000.0
Cash And Cash Equivalents,11899000.0,11195000.0
Cash Cash Equivalents And Federal Funds Sold,11899000.0,11195000.0
