,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,4567660012.0,4537585635.0,3739074993.0
Share Issued,4567660012.0,4537585635.0,3739074993.0
Net Debt,164139000.0,122406000.0,121252000.0
Total Debt,234632000.0,162317000.0,136608000.0
Tangible Book Value,247778000.0,471057000.0,432287000.0
Invested Capital,486207000.0,638558000.0,573450000.0
Working Capital,-958000.0,130916000.0,38081000.0
Net Tangible Assets,247778000.0,471057000.0,432287000.0
Capital Lease Obligations,12004000.0,3816000.0,4445000.0
Common Stock Equity,263579000.0,480057000.0,441287000.0
Total Capitalization,263579000.0,480057000.0,441287000.0
Total Equity Gross Minority Interest,242536000.0,467861000.0,427510000.0
Minority Interest,-21043000.0,-12196000.0,-13777000.0
Stockholders Equity,263579000.0,480057000.0,441287000.0
Gains Losses Not Affecting Retained Earnings,-4597000.0,-4565000.0,-4563000.0
Other Equity Adjustments,-4597000.0,-4565000.0,-4563000.0
Retained Earnings,-4832656000.0,-4499108000.0,-4430210000.0
Additional Paid In Capital,4706242000.0,4615183000.0,4510451000.0
Capital Stock,394590000.0,368547000.0,365609000.0
Common Stock,394590000.0,368547000.0,365609000.0
Total Liabilities Net Minority Interest,351212000.0,245457000.0,209134000.0
Total Non Current Liabilities Net Minority Interest,7815000.0,2319000.0,3527000.0
Derivative Product Liabilities,0.0,0.0,1923000.0
Long Term Debt And Capital Lease Obligation,7815000.0,2319000.0,1604000.0
Long Term Capital Lease Obligation,7815000.0,2319000.0,1604000.0
Current Liabilities,343397000.0,243138000.0,205607000.0
Other Current Liabilities,24701000.0,8255000.0,
Current Deferred Liabilities,7559000.0,10697000.0,10805000.0
Current Deferred Revenue,7559000.0,10697000.0,10805000.0
Current Debt And Capital Lease Obligation,226817000.0,159998000.0,135004000.0
Current Capital Lease Obligation,4189000.0,1497000.0,2841000.0
Current Debt,222628000.0,158501000.0,132163000.0
Other Current Borrowings,222628000.0,158501000.0,132163000.0
Payables And Accrued Expenses,84320000.0,64188000.0,59798000.0
Current Accrued Expenses,45372000.0,45204000.0,35624000.0
Interest Payable,3941000.0,2523000.0,1480000.0
Payables,38948000.0,18984000.0,24174000.0
Other Payable,8378000.0,,7522000.0
Dueto Related Parties Current,9658000.0,9658000.0,9658000.0
Total Tax Payable,1434000.0,1491000.0,1466000.0
Accounts Payable,19478000.0,7835000.0,5528000.0
Total Assets,593748000.0,713318000.0,636644000.0
Total Non Current Assets,251309000.0,339264000.0,392956000.0
Other Non Current Assets,1226000.0,40977000.0,1217000.0
Non Current Prepaid Assets,0.0,,39841000.0
Non Current Deferred Assets,0.0,9000000.0,9000000.0
Non Current Note Receivables,7306000.0,,0.0
Financial Assets,0.0,28715000.0,15843000.0
Investments And Advances,171558000.0,239018000.0,297223000.0
Goodwill And Other Intangible Assets,15801000.0,9000000.0,9000000.0
Other Intangible Assets,15801000.0,9000000.0,9000000.0
Net PPE,55418000.0,12554000.0,20832000.0
Accumulated Depreciation,-46889000.0,,-174496000.0
Gross PPE,102307000.0,12554000.0,195328000.0
Leases,1021000.0,,0.0
Other Properties,11836000.0,12554000.0,4283000.0
Machinery Furniture Equipment,89450000.0,,191045000.0
Properties,0.0,,0.0
Current Assets,342439000.0,374054000.0,243688000.0
Other Current Assets,14188000.0,61556000.0,12192000.0
Restricted Cash,238533000.0,271701000.0,193938000.0
Prepaid Assets,10128000.0,840000.0,18947000.0
Receivables,21101000.0,3862000.0,7700000.0
Other Receivables,5856000.0,,3333000.0
Duefrom Related Parties Current,6284000.0,583000.0,600000.0
Taxes Receivable,5179000.0,,3767000.0
Loans Receivable,,2156000.0,
Accounts Receivable,3782000.0,1123000.0,0.0
Allowance For Doubtful Accounts Receivable,-505000.0,,-505000.0
Gross Accounts Receivable,4287000.0,,505000.0
Cash Cash Equivalents And Short Term Investments,58489000.0,36095000.0,10911000.0
Cash And Cash Equivalents,58489000.0,36095000.0,10911000.0
