,2026-03-31,2025-12-31,2025-09-30,2024-12-31
Ordinary Shares Number,55061113.0,55061113.0,55061113.0,55061113.0
Share Issued,55061113.0,55061113.0,55061113.0,55061113.0
Tangible Book Value,42575830.0,31185540.0,21813748.0,21398737.0
Invested Capital,42575830.0,31185540.0,21813748.0,21398737.0
Working Capital,28477210.0,17090725.0,7732498.0,1590195.0
Net Tangible Assets,42575830.0,31185540.0,21813748.0,21398737.0
Common Stock Equity,42575830.0,31185540.0,21813748.0,21398737.0
Total Capitalization,42575830.0,31185540.0,21813748.0,21398737.0
Total Equity Gross Minority Interest,42575830.0,31185540.0,21813748.0,21398737.0
Stockholders Equity,42575830.0,31185540.0,21813748.0,21398737.0
Retained Earnings,-15179351.0,-4967350.0,-1444362.0,-6082701.0
Additional Paid In Capital,1782045.0,681527.0,1475147.0,1435216.0
Capital Stock,55973136.0,35471363.0,21782963.0,26046222.0
Common Stock,55973136.0,35471363.0,21782963.0,26046222.0
Total Liabilities Net Minority Interest,3507354.0,1762773.0,1452761.0,69720.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0
Current Liabilities,3507354.0,1762773.0,1452761.0,69720.0
Payables And Accrued Expenses,3507354.0,1762773.0,1452761.0,69720.0
Payables,3507354.0,1762773.0,1452761.0,69720.0
Total Tax Payable,,0.0,,41389.0
Accounts Payable,3507354.0,1762773.0,1452761.0,28331.0
Total Assets,46083184.0,32948313.0,23266509.0,21468457.0
Total Non Current Assets,14098620.0,14094815.0,14081250.0,19808542.0
Non Current Deferred Assets,,,0.0,
Non Current Deferred Taxes Assets,,,0.0,
Net PPE,14098620.0,14094815.0,14081250.0,19808542.0
Accumulated Depreciation,0.0,0.0,0.0,0.0
Gross PPE,14098620.0,14094815.0,14081250.0,19808542.0
Machinery Furniture Equipment,17370.0,13565.0,,0.0
Properties,14081250.0,14081250.0,14081250.0,19808542.0
Current Assets,31984564.0,18853498.0,9185259.0,1659915.0
Assets Held For Sale Current,,,0.0,
Prepaid Assets,677762.0,198164.0,143652.0,4867.0
Receivables,0.0,288730.0,,259814.0
Duefrom Related Parties Current,0.0,53500.0,,0.0
Accounts Receivable,0.0,235230.0,,259814.0
Cash Cash Equivalents And Short Term Investments,31306802.0,18366604.0,9041607.0,1395234.0
Cash And Cash Equivalents,31306802.0,18366604.0,9041607.0,1395234.0
Cash Financial,31306802.0,18366604.0,9041607.0,1395234.0
