,2025-06-30
Ordinary Shares Number,782857708.0
Share Issued,782857708.0
Tangible Book Value,10877843.0
Invested Capital,10877843.0
Working Capital,40097.0
Net Tangible Assets,10877843.0
Common Stock Equity,10877843.0
Total Capitalization,10877843.0
Total Equity Gross Minority Interest,10877843.0
Stockholders Equity,10877843.0
Gains Losses Not Affecting Retained Earnings,662036.0
Other Equity Adjustments,546598.0
Foreign Currency Translation Adjustments,115438.0
Retained Earnings,-27758415.0
Capital Stock,37974222.0
Common Stock,37974222.0
Total Liabilities Net Minority Interest,591827.0
Total Non Current Liabilities Net Minority Interest,0.0
Current Liabilities,591827.0
Payables And Accrued Expenses,591827.0
Payables,591827.0
Other Payable,320824.0
Accounts Payable,271003.0
Total Assets,11469670.0
Total Non Current Assets,10837746.0
Other Non Current Assets,74025.0
Net PPE,10763721.0
Accumulated Depreciation,-35036.0
Gross PPE,10798757.0
Other Properties,10672695.0
Machinery Furniture Equipment,126062.0
Current Assets,631924.0
Prepaid Assets,18226.0
Receivables,161759.0
Other Receivables,161759.0
Cash Cash Equivalents And Short Term Investments,451939.0
Cash And Cash Equivalents,451939.0
Cash Financial,451939.0
