,2025-10-31,2025-04-30,2024-10-31
Preferred Shares Number,,5320000.0,5320000.0
Ordinary Shares Number,79627689.0,77613710.0,75582242.0
Share Issued,79627689.0,77613710.0,75582242.0
Net Debt,301650000.0,291650000.0,314650000.0
Total Debt,301650000.0,291650000.0,314650000.0
Tangible Book Value,885187638.0,723070228.0,759206438.0
Invested Capital,1186837638.0,1014720228.0,1073856438.0
Net Tangible Assets,885187638.0,723070228.0,759206438.0
Common Stock Equity,885187638.0,723070228.0,759206438.0
Total Capitalization,1186837638.0,1014720228.0,1073856438.0
Total Equity Gross Minority Interest,885187638.0,723070228.0,759206438.0
Stockholders Equity,885187638.0,723070228.0,759206438.0
Retained Earnings,37941859.0,-104086017.0,-46394719.0
Capital Stock,847245779.0,827156245.0,805601157.0
Common Stock,847245779.0,827156245.0,805601157.0
Total Liabilities Net Minority Interest,443895117.0,444451201.0,456224884.0
Preferred Securities Outside Stock Equity,132287284.0,132172753.0,132072316.0
Derivative Product Liabilities,0.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,301650000.0,291650000.0,314650000.0
Payables,9688578.0,20408231.0,9277135.0
Other Payable,2359960.0,2300236.0,2495658.0
Accounts Payable,7328618.0,18107995.0,6781477.0
Total Assets,1329082755.0,1167521429.0,1215431322.0
Investments And Advances,1285645623.0,1085137901.0,1176563182.0
Investmentin Financial Assets,1285645623.0,1085137901.0,1176563182.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1285379019.0,1085137901.0,1175766173.0
Prepaid Assets,463877.0,482169.0,462842.0
Receivables,7606469.0,9207095.0,10564437.0
Cash Cash Equivalents And Federal Funds Sold,35097531.0,72474047.0,27615428.0
