,2026-01-31
Ordinary Shares Number,63509094.0
Share Issued,63509094.0
Tangible Book Value,252946.0
Invested Capital,252946.0
Working Capital,252946.0
Net Tangible Assets,252946.0
Common Stock Equity,252946.0
Total Capitalization,252946.0
Total Equity Gross Minority Interest,252946.0
Stockholders Equity,252946.0
Gains Losses Not Affecting Retained Earnings,83415.0
Other Equity Adjustments,83415.0
Retained Earnings,-1269059.0
Capital Stock,1438590.0
Common Stock,1438590.0
Total Liabilities Net Minority Interest,5679289.0
Total Non Current Liabilities Net Minority Interest,0.0
Current Liabilities,5679289.0
Other Current Liabilities,5243000.0
Payables And Accrued Expenses,436289.0
Payables,436289.0
Accounts Payable,436289.0
Total Assets,5932235.0
Total Non Current Assets,0.0
Current Assets,5932235.0
Restricted Cash,5243000.0
Prepaid Assets,72490.0
Receivables,24638.0
Taxes Receivable,24638.0
Cash Cash Equivalents And Short Term Investments,592107.0
Cash And Cash Equivalents,592107.0
Cash Financial,592107.0
