,2025-06-30,2024-12-31
Treasury Shares Number,20858.0,20858.0
Ordinary Shares Number,295597793.0,287365082.0
Share Issued,295618651.0,287385940.0
Net Debt,1398200000.0,1408300000.0
Total Debt,4635700000.0,5667400000.0
Tangible Book Value,-3520300000.0,-3401700000.0
Invested Capital,6401700000.0,7809300000.0
Working Capital,435900000.0,1463600000.0
Net Tangible Assets,-3520300000.0,-3401700000.0
Capital Lease Obligations,429400000.0,450400000.0
Common Stock Equity,2195400000.0,2592300000.0
Total Capitalization,6213300000.0,7659400000.0
Total Equity Gross Minority Interest,2336500000.0,2712500000.0
Minority Interest,141100000.0,120200000.0
Stockholders Equity,2195400000.0,2592300000.0
Other Equity Interest,,-100000.0
Treasury Stock,0.0,0.0
Retained Earnings,-10720000000.0,-10208500000.0
Additional Paid In Capital,12621500000.0,12513500000.0
Capital Stock,293900000.0,287400000.0
Common Stock,293900000.0,287400000.0
Total Liabilities Net Minority Interest,8626800000.0,9707900000.0
Total Non Current Liabilities Net Minority Interest,4941400000.0,5975200000.0
Other Non Current Liabilities,31500000.0,3400000.0
Derivative Product Liabilities,6100000.0,6800000.0
Non Current Pension And Other Postretirement Benefit Plans,30800000.0,28600000.0
Tradeand Other Payables Non Current,15500000.0,7300000.0
Non Current Deferred Revenue,,30900000.0
Non Current Deferred Taxes Liabilities,185900000.0,234700000.0
Long Term Debt And Capital Lease Obligation,4328300000.0,5399600000.0
Long Term Capital Lease Obligation,310400000.0,332500000.0
Long Term Debt,4017900000.0,5067100000.0
Long Term Provisions,335000000.0,256100000.0
Current Liabilities,3685400000.0,3732700000.0
Other Current Liabilities,797900000.0,28700000.0
Current Debt And Capital Lease Obligation,307400000.0,267800000.0
Current Capital Lease Obligation,119000000.0,117900000.0
Current Debt,188400000.0,149900000.0
Pensionand Other Post Retirement Benefit Plans Current,,131200000.0
Current Provisions,464600000.0,852500000.0
Payables,1685400000.0,1988100000.0
Other Payable,169000000.0,171000000.0
Total Tax Payable,291300000.0,561400000.0
Accounts Payable,1225100000.0,1255700000.0
Total Assets,10963300000.0,12420400000.0
Total Non Current Assets,6842000000.0,7224100000.0
Other Non Current Assets,47100000.0,31500000.0
Non Current Deferred Taxes Assets,36800000.0,22100000.0
Financial Assets,50800000.0,107200000.0
Investmentin Financial Assets,190900000.0,252000000.0
Available For Sale Securities,281800000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,190900000.0,252000000.0
Long Term Equity Investment,12500000.0,8900000.0
Investments In Other Ventures Under Equity Method,12500000.0,8900000.0
Goodwill And Other Intangible Assets,5715700000.0,5994000000.0
Other Intangible Assets,,862700000.0
Goodwill,,5131300000.0
Net PPE,748100000.0,770600000.0
Accumulated Depreciation,,-860700000.0
Gross PPE,,1631300000.0
Construction In Progress,,59900000.0
Other Properties,,559700000.0
Properties,,1011700000.0
Current Assets,4121300000.0,5196300000.0
Other Current Assets,343900000.0,308100000.0
Hedging Assets Current,2700000.0,225500000.0
Assets Held For Sale Current,,0.0
Prepaid Assets,,19900000.0
Inventory,182100000.0,174600000.0
Other Receivables,,500400000.0
Taxes Receivable,25500000.0,19800000.0
Accounts Receivable,759000000.0,139300000.0
Cash Cash Equivalents And Short Term Investments,2808100000.0,3808700000.0
Other Short Term Investments,2700000.0,
Cash And Cash Equivalents,2808100000.0,3808700000.0
Cash Equivalents,,2449800000.0
Cash Financial,,1358900000.0
