,2025-03-31
Ordinary Shares Number,30225000.0
Share Issued,30225000.0
Net Debt,11325810.0
Total Debt,12243302.0
Tangible Book Value,8592123.0
Invested Capital,20636558.0
Working Capital,2567880.0
Net Tangible Assets,8592123.0
Capital Lease Obligations,198867.0
Common Stock Equity,8592123.0
Total Capitalization,8592123.0
Total Equity Gross Minority Interest,8592123.0
Stockholders Equity,8592123.0
Gains Losses Not Affecting Retained Earnings,5338.0
Other Equity Adjustments,5338.0
Retained Earnings,2821784.0
Additional Paid In Capital,5764699.0
Capital Stock,302.0
Common Stock,302.0
Total Liabilities Net Minority Interest,19901469.0
Total Non Current Liabilities Net Minority Interest,61062.0
Other Non Current Liabilities,34362.0
Long Term Debt And Capital Lease Obligation,26700.0
Long Term Capital Lease Obligation,26700.0
Current Liabilities,19840407.0
Current Deferred Liabilities,2322911.0
Current Deferred Revenue,2322911.0
Current Debt And Capital Lease Obligation,12216602.0
Current Capital Lease Obligation,172167.0
Current Debt,12044435.0
Other Current Borrowings,12044435.0
Current Provisions,65556.0
Payables And Accrued Expenses,5235338.0
Current Accrued Expenses,1704763.0
Payables,3530575.0
Dueto Related Parties Current,1360024.0
Total Tax Payable,372816.0
Income Tax Payable,372816.0
Accounts Payable,1797735.0
Total Assets,28493592.0
Total Non Current Assets,6085305.0
Other Non Current Assets,1390388.0
Non Current Deferred Assets,65241.0
Non Current Deferred Taxes Assets,65241.0
Non Current Accounts Receivable,1029078.0
Investments And Advances,1324129.0
Long Term Equity Investment,1324129.0
Net PPE,2276469.0
Accumulated Depreciation,-1852377.0
Gross PPE,4128846.0
Leases,184740.0
Construction In Progress,1784389.0
Other Properties,250271.0
Machinery Furniture Equipment,1909446.0
Properties,0.0
Current Assets,22408287.0
Prepaid Assets,7020687.0
Receivables,14668975.0
Other Receivables,4636670.0
Accounts Receivable,10032305.0
Allowance For Doubtful Accounts Receivable,-303925.0
Gross Accounts Receivable,10336230.0
Cash Cash Equivalents And Short Term Investments,718625.0
Cash And Cash Equivalents,718625.0
