,2025-09-30,2025-03-31
Treasury Shares Number,24900000.0,14600000.0
Ordinary Shares Number,1000100252.0,1010400252.0
Share Issued,1025000252.0,1025000252.0
Total Debt,404858843.605971,240112811.622702
Tangible Book Value,1919081979.548783,1788167716.72898
Invested Capital,2198035500.73232,1921937461.997231
Working Capital,2057080662.716169,1783380985.031761
Net Tangible Assets,1919081979.548783,1788167716.72898
Capital Lease Obligations,131548890.770078,111517911.432526
Common Stock Equity,1924725547.896427,1793342561.807056
Total Capitalization,2191451337.660069,1920255637.346857
Total Equity Gross Minority Interest,1924725547.896427,1793342561.807056
Stockholders Equity,1924725547.896427,1793342561.807056
Other Equity Interest,407949369.129681,387337154.093949
Treasury Stock,273175582.160949,86419912.80386
Retained Earnings,1803388828.422085,1510666649.417183
Capital Stock,13705808.844278,13195854.949092
Common Stock,13705808.844278,13195854.949092
Total Liabilities Net Minority Interest,27786914983.67396,23105683273.606995
Total Non Current Liabilities Net Minority Interest,487899920.721302,304927746.225597
Tradeand Other Payables Non Current,74844465.943752,59251976.143964
Non Current Deferred Taxes Liabilities,6852904.422139,5174845.078075
Long Term Debt And Capital Lease Obligation,385912578.438881,225105760.896283
Long Term Capital Lease Obligation,119186788.67524,98192685.356482
Long Term Debt,266725789.763642,126913075.539801
Long Term Provisions,20289971.916529,15395164.107275
Current Liabilities,27299015062.95266,22800755527.381397
Current Debt And Capital Lease Obligation,18946265.16709,15007050.726419
Current Capital Lease Obligation,12362102.094839,13325226.076044
Current Debt,6584163.072251,1681824.650375
Current Provisions,33861410.085863,33377750.753587
Payables,27051638650.38094,22597772229.19389
Other Payable,26986737614.383038,22557149695.330997
Total Tax Payable,40983055.85789,18888184.534975
Accounts Payable,23917980.140014,21734349.327917
Total Assets,29711640531.57039,24899025835.41405
Total Non Current Assets,355544805.90156,314889323.000893
Non Current Prepaid Assets,,8409123.251873
Non Current Deferred Taxes Assets,108705876.029615,109577344.528248
Goodwill And Other Intangible Assets,5643568.347644,5174845.078075
Other Intangible Assets,,5174845.078075
Net PPE,181534781.849209,149941136.137237
Accumulated Depreciation,,-61968769.809954
Gross PPE,,211909905.947191
Construction In Progress,,1164340.142567
Other Properties,,131182322.729213
Machinery Furniture Equipment,,20052524.677542
Buildings And Improvements,,59510718.397868
Properties,,0.0
Current Assets,29356095725.66883,24584136512.41316
Other Current Assets,,12937.112695
Hedging Assets Current,6449792.397307,3234278.173797
Restricted Cash,8890501336.988216,7546088463.97661
Prepaid Assets,,34153977.515298
Other Receivables,,257060429.253399
Taxes Receivable,22439902.715631,19405669.042783
Accounts Receivable,444498192.714422,125619364.270282
Allowance For Doubtful Accounts Receivable,,-60286945.159579
Gross Accounts Receivable,,185906309.429861
Cash Cash Equivalents And Short Term Investments,19992206500.853252,16598561393.068295
Other Short Term Investments,6512543502.506013,6022096588.483382
Cash And Cash Equivalents,13479662998.34724,10576464804.584913
Cash Equivalents,9199822630.709074,7752176669.210965
Cash Financial,4279840367.638167,2824288135.373947
