,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,52046250.0,,50046250.0
Share Issued,52046250.0,,50046250.0
Net Debt,739361000.0,,824371000.0
Total Debt,1804831000.0,,1504393000.0
Tangible Book Value,1157510000.0,,383299000.0
Invested Capital,2018214000.0,,1247423000.0
Working Capital,562389000.0,,-228072000.0
Net Tangible Assets,1157516000.0,,383305000.0
Capital Lease Obligations,944127000.0,,640269000.0
Common Stock Equity,1157510000.0,,383299000.0
Preferred Stock Equity,6000.0,,6000.0
Total Capitalization,1892414000.0,,1141418000.0
Total Equity Gross Minority Interest,1157516000.0,,383305000.0
Stockholders Equity,1157516000.0,,383305000.0
Other Equity Interest,-6000.0,,-6000.0
Gains Losses Not Affecting Retained Earnings,892571000.0,,79843000.0
Other Equity Adjustments,892571000.0,,79843000.0
Retained Earnings,264784000.0,,303305000.0
Capital Stock,167000.0,,163000.0
Common Stock,161000.0,,157000.0
Preferred Stock,6000.0,,6000.0
Total Liabilities Net Minority Interest,2422371000.0,,2252205000.0
Total Non Current Liabilities Net Minority Interest,1434980000.0,,1242493000.0
Other Non Current Liabilities,102839000.0,,94682000.0
Long Term Debt And Capital Lease Obligation,1332141000.0,,1147427000.0
Long Term Capital Lease Obligation,597243000.0,,389314000.0
Long Term Debt,734898000.0,,758113000.0
Long Term Provisions,,,384000.0
Current Liabilities,987391000.0,,1009712000.0
Current Deferred Liabilities,2631000.0,,10020000.0
Current Deferred Revenue,2631000.0,,10020000.0
Current Debt And Capital Lease Obligation,472690000.0,,356966000.0
Current Capital Lease Obligation,346884000.0,,250955000.0
Current Debt,125806000.0,,106011000.0
Other Current Borrowings,125806000.0,,106011000.0
Pensionand Other Post Retirement Benefit Plans Current,,,60189000.0
Payables And Accrued Expenses,512070000.0,,582537000.0
Current Accrued Expenses,,,154631000.0
Payables,512070000.0,,427906000.0
Other Payable,174568000.0,,85314000.0
Dueto Related Parties Current,0.0,26629000.0,
Total Tax Payable,144638000.0,,198935000.0
Income Tax Payable,144638000.0,,141512000.0
Accounts Payable,192864000.0,271083000.0,143657000.0
Total Assets,3579887000.0,,2635510000.0
Total Non Current Assets,2030107000.0,,1853870000.0
Other Non Current Assets,152662000.0,,8598000.0
Non Current Prepaid Assets,,,143276000.0
Non Current Deferred Assets,66408000.0,,107370000.0
Non Current Deferred Taxes Assets,66408000.0,,19294000.0
Non Current Accounts Receivable,59207000.0,,112836000.0
Investments And Advances,56650000.0,,9097000.0
Investmentin Financial Assets,40000000.0,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,40000000.0,,
Long Term Equity Investment,16650000.0,,9097000.0
Investmentsin Associatesat Cost,16650000.0,,9097000.0
Net PPE,1695180000.0,,1472693000.0
Accumulated Depreciation,,,-304971000.0
Gross PPE,1695180000.0,,1777664000.0
Leases,,,415696000.0
Other Properties,1695180000.0,,452813000.0
Machinery Furniture Equipment,,,277690000.0
Buildings And Improvements,,,191076000.0
Land And Improvements,,,440389000.0
Properties,,,0.0
Current Assets,1549780000.0,,781640000.0
Other Current Assets,41876000.0,,
Prepaid Assets,,,85151000.0
Inventory,13535000.0,,12764000.0
Receivables,1373026000.0,,643972000.0
Other Receivables,277629000.0,,87703000.0
Accounts Receivable,1095397000.0,1014620000.0,556269000.0
Allowance For Doubtful Accounts Receivable,,,-32459000.0
Gross Accounts Receivable,,,588728000.0
Cash Cash Equivalents And Short Term Investments,121343000.0,,39753000.0
Other Short Term Investments,0.0,,
Cash And Cash Equivalents,121343000.0,,39753000.0
Cash Equivalents,,,36412000.0
Cash Financial,,,3341000.0
