,2026-03-31,2025-09-30,2025-06-30
Ordinary Shares Number,24897857.0,21683571.0,21683571.0
Share Issued,24897857.0,21683571.0,21683571.0
Net Debt,,137595.0,20420.0
Total Debt,,137595.0,20420.0
Tangible Book Value,175505220.0,-17745.0,8055.0
Invested Capital,175505220.0,119850.0,28475.0
Working Capital,922995.0,,
Net Tangible Assets,175505220.0,-17745.0,8055.0
Common Stock Equity,175505220.0,-17745.0,8055.0
Total Capitalization,175505220.0,-17745.0,8055.0
Total Equity Gross Minority Interest,175505220.0,-17745.0,8055.0
Stockholders Equity,175505220.0,-17745.0,8055.0
Retained Earnings,935967.0,-42745.0,-16945.0
Additional Paid In Capital,0.0,24261.0,24261.0
Capital Stock,174569253.0,739.0,739.0
Common Stock,174569253.0,739.0,739.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,166873.0,160023.0,30945.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0
Current Liabilities,166873.0,160023.0,30945.0
Current Debt And Capital Lease Obligation,,137595.0,20420.0
Current Debt,,137595.0,20420.0
Other Current Borrowings,,137595.0,20420.0
Payables And Accrued Expenses,166873.0,22428.0,10525.0
Current Accrued Expenses,166873.0,22428.0,10525.0
Total Assets,175672093.0,142278.0,39000.0
Total Non Current Assets,174582225.0,142278.0,39000.0
Other Non Current Assets,174568488.0,,
Non Current Prepaid Assets,13737.0,,
Non Current Deferred Assets,,142278.0,39000.0
Current Assets,1089868.0,,
Prepaid Assets,159127.0,,
Cash Cash Equivalents And Short Term Investments,930741.0,,
Cash And Cash Equivalents,930741.0,,
Cash Financial,930741.0,,
