,2026-03-31
Ordinary Shares Number,53027817.0
Share Issued,53027817.0
Total Debt,5342000.0
Tangible Book Value,-115621000.0
Invested Capital,-115621000.0
Working Capital,174118000.0
Net Tangible Assets,-115621000.0
Capital Lease Obligations,5342000.0
Common Stock Equity,-115621000.0
Total Capitalization,-115621000.0
Total Equity Gross Minority Interest,-115621000.0
Stockholders Equity,-115621000.0
Gains Losses Not Affecting Retained Earnings,64000.0
Other Equity Adjustments,64000.0
Retained Earnings,-139517000.0
Additional Paid In Capital,23831000.0
Capital Stock,1000.0
Common Stock,1000.0
Total Liabilities Net Minority Interest,343294000.0
Total Non Current Liabilities Net Minority Interest,329071000.0
Preferred Securities Outside Stock Equity,325328000.0
Long Term Debt And Capital Lease Obligation,3743000.0
Long Term Capital Lease Obligation,3743000.0
Current Liabilities,14223000.0
Current Debt And Capital Lease Obligation,1599000.0
Current Capital Lease Obligation,1599000.0
Pensionand Other Post Retirement Benefit Plans Current,1712000.0
Payables And Accrued Expenses,10912000.0
Current Accrued Expenses,6114000.0
Payables,4798000.0
Dueto Related Parties Current,11000.0
Accounts Payable,4787000.0
Total Assets,227673000.0
Total Non Current Assets,39332000.0
Other Non Current Assets,3843000.0
Investments And Advances,30037000.0
Net PPE,5452000.0
Accumulated Depreciation,-1015000.0
Gross PPE,6467000.0
Leases,432000.0
Other Properties,6009000.0
Machinery Furniture Equipment,26000.0
Properties,0.0
Current Assets,188341000.0
Prepaid Assets,2459000.0
Receivables,3277000.0
Taxes Receivable,1894000.0
Accrued Interest Receivable,1383000.0
Cash Cash Equivalents And Short Term Investments,182605000.0
Other Short Term Investments,129696000.0
Cash And Cash Equivalents,52909000.0
