,2025-09-30,2025-03-31
Ordinary Shares Number,11270857.0,9252865.0
Share Issued,11270857.0,9252865.0
Total Debt,400361.0,413614.0
Tangible Book Value,8190253.0,3373491.0
Invested Capital,8509118.0,3686305.0
Working Capital,7923018.0,3319736.0
Net Tangible Assets,8190253.0,3373491.0
Capital Lease Obligations,81496.0,100800.0
Common Stock Equity,8190253.0,3373491.0
Total Capitalization,8190253.0,3373491.0
Total Equity Gross Minority Interest,8190253.0,3373491.0
Stockholders Equity,8190253.0,3373491.0
Other Equity Interest,,-3125.0
Gains Losses Not Affecting Retained Earnings,622058.0,639785.0
Retained Earnings,-25065907.0,-17157465.0
Additional Paid In Capital,32614603.0,19890941.0
Capital Stock,19499.0,3355.0
Common Stock,19499.0,3355.0
Total Liabilities Net Minority Interest,2588833.0,2226012.0
Total Non Current Liabilities Net Minority Interest,35306.0,58253.0
Long Term Debt And Capital Lease Obligation,35306.0,58253.0
Long Term Capital Lease Obligation,35306.0,58253.0
Current Liabilities,2553527.0,2167759.0
Other Current Liabilities,902287.0,
Current Deferred Liabilities,30024.0,9198.0
Current Deferred Revenue,30024.0,9198.0
Current Debt And Capital Lease Obligation,365055.0,355361.0
Current Capital Lease Obligation,46190.0,42547.0
Current Debt,318865.0,312814.0
Line Of Credit,318865.0,312814.0
Payables And Accrued Expenses,1256161.0,1803200.0
Current Accrued Expenses,60735.0,61845.0
Payables,1195426.0,1741355.0
Other Payable,1134532.0,1619068.0
Dueto Related Parties Current,0.0,88525.0
Total Tax Payable,26704.0,
Income Tax Payable,5007.0,
Accounts Payable,34190.0,33762.0
Total Assets,10779086.0,5599503.0
Total Non Current Assets,302541.0,112008.0
Non Current Prepaid Assets,221161.0,10258.0
Non Current Deferred Assets,0.0,0.0
Net PPE,81380.0,101750.0
Accumulated Depreciation,-31284.0,-30058.0
Gross PPE,112664.0,131808.0
Other Properties,27012.0,125147.0
Machinery Furniture Equipment,6790.0,6661.0
Buildings And Improvements,78862.0,
Properties,0.0,
Current Assets,10476545.0,5487495.0
Other Current Assets,13600.0,58132.0
Current Deferred Assets,13103.0,
Restricted Cash,24298.0,23837.0
Prepaid Assets,281959.0,575318.0
Receivables,231258.0,210530.0
Duefrom Related Parties Current,17486.0,
Accounts Receivable,213772.0,210530.0
Allowance For Doubtful Accounts Receivable,0.0,
Gross Accounts Receivable,213772.0,
Cash Cash Equivalents And Short Term Investments,9912327.0,4619678.0
Other Short Term Investments,,2982758.0
Cash And Cash Equivalents,9912327.0,1636920.0
Cash Financial,9912327.0,1636920.0
