,2025-06-30
Ordinary Shares Number,394804950.0
Share Issued,394804950.0
Tangible Book Value,116563000.0
Invested Capital,116563000.0
Working Capital,6880000.0
Net Tangible Assets,116563000.0
Common Stock Equity,116563000.0
Total Capitalization,116563000.0
Total Equity Gross Minority Interest,116563000.0
Stockholders Equity,116563000.0
Gains Losses Not Affecting Retained Earnings,13965000.0
Other Equity Adjustments,13965000.0
Retained Earnings,-53626000.0
Capital Stock,156224000.0
Common Stock,156224000.0
Total Liabilities Net Minority Interest,243000.0
Total Non Current Liabilities Net Minority Interest,0.0
Current Liabilities,243000.0
Pensionand Other Post Retirement Benefit Plans Current,127000.0
Payables And Accrued Expenses,116000.0
Payables,116000.0
Other Payable,87000.0
Accounts Payable,29000.0
Total Assets,116806000.0
Total Non Current Assets,109683000.0
Investments And Advances,105909000.0
Investmentin Financial Assets,2581000.0
Trading Securities,2581000.0
Long Term Equity Investment,103328000.0
Investmentsin Associatesat Cost,103328000.0
Net PPE,3774000.0
Gross PPE,3774000.0
Other Properties,3774000.0
Current Assets,7123000.0
Receivables,35000.0
Other Receivables,30000.0
Accounts Receivable,5000.0
Cash Cash Equivalents And Short Term Investments,7088000.0
Cash And Cash Equivalents,7088000.0
Cash Financial,7088000.0
