,2026-03-31,2025-10-31
Ordinary Shares Number,17621667.0,16981667.0
Share Issued,17621667.0,16981667.0
Tangible Book Value,127292072.0,12214.0
Invested Capital,127292072.0,12214.0
Working Capital,1722262.0,-94380.0
Net Tangible Assets,127292072.0,12214.0
Common Stock Equity,127292072.0,12214.0
Total Capitalization,127292072.0,12214.0
Total Equity Gross Minority Interest,127292072.0,12214.0
Stockholders Equity,127292072.0,12214.0
Retained Earnings,368302.0,-12786.0
Additional Paid In Capital,1353450.0,24425.0
Capital Stock,125570320.0,575.0
Common Stock,125570320.0,575.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,25681.0,183464.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,25681.0,183464.0
Current Deferred Liabilities,0.0,132035.0
Payables And Accrued Expenses,25681.0,51429.0
Current Accrued Expenses,0.0,51429.0
Payables,25681.0,
Accounts Payable,25681.0,
Total Assets,127317753.0,195678.0
Total Non Current Assets,125569810.0,106594.0
Other Non Current Assets,125569810.0,
Non Current Deferred Assets,0.0,106594.0
Current Assets,1747943.0,89084.0
Prepaid Assets,191092.0,89084.0
Cash Cash Equivalents And Short Term Investments,1556851.0,
Cash And Cash Equivalents,1556851.0,
Cash Financial,1556851.0,
