,2025-10-31,2025-04-30,2024-10-31
Ordinary Shares Number,28025822.0,25966491.0,20701251.0
Share Issued,28025822.0,25966491.0,20701251.0
Tangible Book Value,153023304.0,160302793.0,148606804.0
Net Tangible Assets,153023304.0,160302793.0,148606804.0
Common Stock Equity,153023304.0,160302793.0,148606804.0
Total Equity Gross Minority Interest,153023304.0,160302793.0,148606804.0
Stockholders Equity,153023304.0,160302793.0,148606804.0
Retained Earnings,-65829897.0,-70308558.0,-45168936.0
Additional Paid In Capital,218825175.0,230585385.0,193755039.0
Capital Stock,28026.0,25966.0,20701.0
Common Stock,28026.0,25966.0,20701.0
Total Liabilities Net Minority Interest,117798497.0,116987160.0,92167246.0
Preferred Securities Outside Stock Equity,113914634.0,113509605.0,88973544.0
Payables,3383435.0,2991239.0,2850702.0
Other Payable,3383435.0,2991239.0,2850702.0
Total Assets,270821801.0,277289953.0,240774050.0
Investments And Advances,256537117.0,252244071.0,214850657.0
Investmentin Financial Assets,256537117.0,252244071.0,214850657.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,256537117.0,252244071.0,214850657.0
Receivables,422588.0,1604983.0,800883.0
Cash And Cash Equivalents,13506490.0,23070925.0,24696288.0
Cash Cash Equivalents And Federal Funds Sold,13506490.0,23070925.0,24696288.0
