,2025-09-30
Tangible Book Value,379365000.0
Invested Capital,510715000.0
Working Capital,329051000.0
Net Tangible Assets,379365000.0
Common Stock Equity,510715000.0
Total Capitalization,510715000.0
Total Equity Gross Minority Interest,510715000.0
Stockholders Equity,510715000.0
Retained Earnings,203725000.0
Additional Paid In Capital,206990000.0
Capital Stock,100000000.0
Common Stock,100000000.0
Total Liabilities Net Minority Interest,332950000.0
Total Non Current Liabilities Net Minority Interest,2000.0
Current Liabilities,332948000.0
Other Current Liabilities,32370000.0
Pensionand Other Post Retirement Benefit Plans Current,26705000.0
Payables,128512000.0
Other Payable,52208000.0
Total Tax Payable,63653000.0
Accounts Payable,12651000.0
Total Assets,843665000.0
Total Non Current Assets,181664000.0
Goodwill And Other Intangible Assets,131350000.0
Other Intangible Assets,131350000.0
Net PPE,20372000.0
Current Assets,661999000.0
Prepaid Assets,32517000.0
Accounts Receivable,127907000.0
Allowance For Doubtful Accounts Receivable,-5018000.0
Gross Accounts Receivable,132925000.0
Cash Cash Equivalents And Short Term Investments,501575000.0
Cash And Cash Equivalents,501575000.0
