,2026-03-31,2025-09-30,2025-08-31
Ordinary Shares Number,13683333.0,13683333.0,13683333.0
Share Issued,13683333.0,13683333.0,13683333.0
Net Debt,,52729.0,12420.0
Total Debt,,52729.0,12420.0
Tangible Book Value,98080170.0,-27729.0,6776.0
Invested Capital,98080170.0,25000.0,19196.0
Working Capital,589585.0,,
Net Tangible Assets,98080170.0,-27729.0,6776.0
Common Stock Equity,98080170.0,-27729.0,6776.0
Total Capitalization,98080170.0,-27729.0,6776.0
Total Equity Gross Minority Interest,98080170.0,-27729.0,6776.0
Stockholders Equity,98080170.0,-27729.0,6776.0
Retained Earnings,-2859828.0,-52729.0,-18224.0
Additional Paid In Capital,0.0,24617.0,24617.0
Capital Stock,100939998.0,383.0,383.0
Common Stock,100939998.0,383.0,383.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3684843.0,111279.0,23624.0
Total Non Current Liabilities Net Minority Interest,3500000.0,0.0,0.0
Non Current Deferred Liabilities,3500000.0,,
Current Liabilities,184843.0,111279.0,23624.0
Current Debt And Capital Lease Obligation,,52729.0,12420.0
Current Debt,,52729.0,12420.0
Other Current Borrowings,,52729.0,12420.0
Payables And Accrued Expenses,184843.0,58550.0,11204.0
Current Accrued Expenses,184843.0,58550.0,11204.0
Dueto Related Parties Current,0.0,,
Total Assets,101765013.0,83550.0,30400.0
Total Non Current Assets,100990585.0,83550.0,30400.0
Other Non Current Assets,100939630.0,,
Non Current Prepaid Assets,50955.0,,
Non Current Deferred Assets,,83550.0,30400.0
Current Assets,774428.0,,
Prepaid Assets,249818.0,,
Cash Cash Equivalents And Short Term Investments,524610.0,,
Cash And Cash Equivalents,524610.0,,
Cash Financial,524610.0,,
