,2025-03-31
Ordinary Shares Number,38417987.0
Share Issued,38417987.0
Net Debt,2667000.0
Total Debt,15475000.0
Tangible Book Value,14496000.0
Invested Capital,27701000.0
Working Capital,8140000.0
Net Tangible Assets,14496000.0
Capital Lease Obligations,2663000.0
Common Stock Equity,14889000.0
Total Capitalization,19220000.0
Total Equity Gross Minority Interest,14679000.0
Minority Interest,-210000.0
Stockholders Equity,14889000.0
Gains Losses Not Affecting Retained Earnings,995000.0
Other Equity Adjustments,995000.0
Retained Earnings,-10991000.0
Additional Paid In Capital,924000.0
Capital Stock,23961000.0
Common Stock,23961000.0
Total Liabilities Net Minority Interest,26521000.0
Total Non Current Liabilities Net Minority Interest,5654000.0
Non Current Deferred Liabilities,255000.0
Non Current Deferred Taxes Liabilities,255000.0
Long Term Debt And Capital Lease Obligation,5399000.0
Long Term Capital Lease Obligation,1068000.0
Long Term Debt,4331000.0
Current Liabilities,20867000.0
Current Debt And Capital Lease Obligation,10076000.0
Current Capital Lease Obligation,1595000.0
Current Debt,8481000.0
Other Current Borrowings,8481000.0
Payables And Accrued Expenses,10791000.0
Payables,10791000.0
Total Tax Payable,461000.0
Income Tax Payable,461000.0
Accounts Payable,10330000.0
Total Assets,41200000.0
Total Non Current Assets,12193000.0
Goodwill And Other Intangible Assets,393000.0
Other Intangible Assets,2000.0
Goodwill,391000.0
Net PPE,11800000.0
Accumulated Depreciation,-8920000.0
Gross PPE,20720000.0
Leases,8041000.0
Construction In Progress,87000.0
Other Properties,2114000.0
Machinery Furniture Equipment,10478000.0
Properties,0.0
Current Assets,29007000.0
Prepaid Assets,1700000.0
Inventory,44000.0
Receivables,17118000.0
Receivables Adjustments Allowances,-477000.0
Other Receivables,5005000.0
Accounts Receivable,12590000.0
Cash Cash Equivalents And Short Term Investments,10145000.0
Cash And Cash Equivalents,10145000.0
Cash Financial,10145000.0
