,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Ordinary Shares Number,259356608.0,259356608.0,259356608.0,259356608.0
Share Issued,259356608.0,259356608.0,259356608.0,259356608.0
Total Debt,191897000000.0,153761000000.0,149707000000.0,129456000000.0
Tangible Book Value,1899565000000.0,2050317000000.0,2025140000000.0,1758613000000.0
Invested Capital,2152547000000.0,2265469000000.0,2236100000000.0,1948570000000.0
Working Capital,969693000000.0,1128175000000.0,1205554000000.0,801180000000.0
Net Tangible Assets,1899565000000.0,2050317000000.0,2025140000000.0,1758613000000.0
Common Stock Equity,1960650000000.0,2111708000000.0,2086393000000.0,1819114000000.0
Total Capitalization,2013878000000.0,2226240000000.0,2192794000000.0,1854114000000.0
Total Equity Gross Minority Interest,2831344000000.0,2927668000000.0,2997551000000.0,2631280000000.0
Minority Interest,870694000000.0,815960000000.0,911158000000.0,812166000000.0
Stockholders Equity,1960650000000.0,2111708000000.0,2086393000000.0,1819114000000.0
Retained Earnings,1918731000000.0,2070210000000.0,2044521000000.0,1777346000000.0
Additional Paid In Capital,2539000000.0,2539000000.0,2539000000.0,2539000000.0
Capital Stock,37051000000.0,37051000000.0,37051000000.0,37051000000.0
Common Stock,37051000000.0,37051000000.0,37051000000.0,37051000000.0
Total Liabilities Net Minority Interest,1241364000000.0,836064000000.0,824330000000.0,700168000000.0
Total Non Current Liabilities Net Minority Interest,349909000000.0,412563000000.0,403345000000.0,335498000000.0
Other Non Current Liabilities,3248000000.0,3004000000.0,3036000000.0,3053000000.0
Non Current Pension And Other Postretirement Benefit Plans,1854000000.0,1927000000.0,1930000000.0,1469000000.0
Non Current Deferred Revenue,4646000000.0,4575000000.0,4737000000.0,4477000000.0
Non Current Deferred Taxes Liabilities,236714000000.0,239713000000.0,239814000000.0,242662000000.0
Long Term Debt And Capital Lease Obligation,53228000000.0,114532000000.0,106401000000.0,35000000000.0
Long Term Debt,53228000000.0,114532000000.0,106401000000.0,35000000000.0
Long Term Provisions,50219000000.0,48812000000.0,47427000000.0,48837000000.0
Current Liabilities,891455000000.0,423501000000.0,420985000000.0,364670000000.0
Other Current Liabilities,12697000000.0,6140000000.0,6186000000.0,3739000000.0
Current Debt And Capital Lease Obligation,138669000000.0,39229000000.0,43306000000.0,94456000000.0
Current Debt,138669000000.0,39229000000.0,43306000000.0,94456000000.0
Pensionand Other Post Retirement Benefit Plans Current,9652000000.0,9530000000.0,15691000000.0,10617000000.0
Current Provisions,11494000000.0,11471000000.0,12494000000.0,9661000000.0
Payables,703387000000.0,344167000000.0,343308000000.0,238120000000.0
Other Payable,7576000000.0,9057000000.0,7072000000.0,7288000000.0
Dividends Payable,341961000000.0,101461000000.0,,
Total Tax Payable,55508000000.0,37717000000.0,55413000000.0,59743000000.0
Accounts Payable,298342000000.0,195932000000.0,280823000000.0,171089000000.0
Total Assets,4072708000000.0,3763732000000.0,3821881000000.0,3331448000000.0
Total Non Current Assets,2211560000000.0,2212056000000.0,2195342000000.0,2165598000000.0
Other Non Current Assets,21261000000.0,17536000000.0,13330000000.0,15101000000.0
Non Current Prepaid Assets,13651000000.0,11881000000.0,5397000000.0,5966000000.0
Non Current Deferred Taxes Assets,40927000000.0,45559000000.0,40465000000.0,45744000000.0
Investmentin Financial Assets,68108000000.0,48984000000.0,46468000000.0,47046000000.0
Held To Maturity Securities,37831000000.0,24687000000.0,17374000000.0,17195000000.0
Available For Sale Securities,155000000.0,270000000.0,492000000.0,465000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,30122000000.0,24027000000.0,28602000000.0,29386000000.0
Long Term Equity Investment,227222000000.0,267313000000.0,271824000000.0,273076000000.0
Investmentsin Joint Venturesat Cost,54774000000.0,44520000000.0,53605000000.0,58828000000.0
Investmentsin Associatesat Cost,172448000000.0,222793000000.0,218219000000.0,214248000000.0
Investment Properties,1959000000.0,1967000000.0,1976000000.0,1984000000.0
Goodwill And Other Intangible Assets,61085000000.0,61391000000.0,61253000000.0,60501000000.0
Other Intangible Assets,,,12759000000.0,
Goodwill,,,48494000000.0,
Net PPE,1718949000000.0,1709176000000.0,1702138000000.0,1670297000000.0
Accumulated Depreciation,-788536000000.0,-751145000000.0,-719480000000.0,-684667000000.0
Gross PPE,2507485000000.0,2460321000000.0,2421618000000.0,2354964000000.0
Construction In Progress,43354000000.0,38101000000.0,35041000000.0,24901000000.0
Other Properties,12005000000.0,11796000000.0,11422000000.0,10755000000.0
Machinery Furniture Equipment,172442000000.0,168891000000.0,167733000000.0,158713000000.0
Buildings And Improvements,163651000000.0,162869000000.0,162670000000.0,159789000000.0
Land And Improvements,720000000.0,720000000.0,720000000.0,434000000.0
Properties,2115313000000.0,2077944000000.0,2044032000000.0,2000372000000.0
Current Assets,1861148000000.0,1551676000000.0,1626539000000.0,1165850000000.0
Other Current Assets,645000000.0,347000000.0,2648000000.0,706000000.0
Assets Held For Sale Current,,,0.0,0.0
Prepaid Assets,130640000000.0,92614000000.0,23423000000.0,67990000000.0
Inventory,470155000000.0,419985000000.0,388157000000.0,326274000000.0
Inventories Adjustments Allowances,-2677000000.0,-2730000000.0,-2670000000.0,-3028000000.0
Finished Goods,379733000000.0,333803000000.0,318701000000.0,213326000000.0
Work In Process,44421000000.0,46635000000.0,36712000000.0,74863000000.0
Raw Materials,48678000000.0,42277000000.0,35414000000.0,41113000000.0
Other Receivables,160437000000.0,30827000000.0,54873000000.0,30895000000.0
Taxes Receivable,219049000000.0,215249000000.0,219672000000.0,170250000000.0
Accounts Receivable,205900000000.0,126982000000.0,622960000000.0,275992000000.0
Allowance For Doubtful Accounts Receivable,-169000000.0,-223000000.0,-1045000000.0,-1384000000.0
Gross Accounts Receivable,206069000000.0,127205000000.0,624005000000.0,277376000000.0
Cash Cash Equivalents And Short Term Investments,674322000000.0,665672000000.0,314806000000.0,293743000000.0
Other Short Term Investments,90437000000.0,234957000000.0,20421000000.0,55657000000.0
Cash And Cash Equivalents,583885000000.0,430715000000.0,294385000000.0,238086000000.0
Cash Financial,583885000000.0,430715000000.0,294385000000.0,238086000000.0
