,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,101275.0,34198.0,34198.0
Share Issued,101275.0,34198.0,34198.0
Net Debt,280223.0,,
Total Debt,2867288.0,1614095.0,1424544.0
Tangible Book Value,22009707.0,7071532.0,8385921.0
Invested Capital,23786989.0,8714176.0,9844761.0
Working Capital,1554211.0,3573505.0,3375929.0
Net Tangible Assets,22009707.0,7071532.0,8385921.0
Capital Lease Obligations,1134073.0,27081.0,33414.0
Common Stock Equity,22053774.0,7127162.0,8453631.0
Total Capitalization,22053774.0,7127162.0,8453631.0
Total Equity Gross Minority Interest,22053774.0,7127162.0,8453631.0
Stockholders Equity,22053774.0,7127162.0,8453631.0
Gains Losses Not Affecting Retained Earnings,221342.0,76317.0,46013.0
Other Equity Adjustments,221342.0,76317.0,46013.0
Retained Earnings,-999866.0,-569562.0,787211.0
Additional Paid In Capital,22832075.0,7620339.0,7620339.0
Capital Stock,223.0,68.0,68.0
Common Stock,223.0,68.0,68.0
Total Liabilities Net Minority Interest,9201910.0,5689118.0,5507972.0
Total Non Current Liabilities Net Minority Interest,900423.0,242773.0,241959.0
Non Current Deferred Liabilities,173195.0,228989.0,221551.0
Non Current Deferred Taxes Liabilities,173195.0,228989.0,221551.0
Long Term Debt And Capital Lease Obligation,727228.0,13784.0,20408.0
Long Term Capital Lease Obligation,727228.0,13784.0,20408.0
Current Liabilities,8301487.0,5446345.0,5266013.0
Other Current Liabilities,,4191.0,60174.0
Current Deferred Liabilities,108356.0,302507.0,515650.0
Current Deferred Revenue,108356.0,302507.0,515650.0
Current Debt And Capital Lease Obligation,2140060.0,1600311.0,1404136.0
Current Capital Lease Obligation,406845.0,13297.0,13006.0
Current Debt,1733215.0,1587014.0,1391130.0
Other Current Borrowings,310497.0,190093.0,
Line Of Credit,1422718.0,1396921.0,1391130.0
Payables And Accrued Expenses,6053071.0,3539336.0,3346227.0
Current Accrued Expenses,190264.0,105088.0,60174.0
Payables,5862807.0,3434248.0,3286053.0
Other Payable,897079.0,796905.0,601032.0
Dueto Related Parties Current,308822.0,249338.0,240166.0
Total Tax Payable,1047108.0,1173721.0,1168436.0
Income Tax Payable,292848.0,336674.0,362734.0
Accounts Payable,3609798.0,1214284.0,1276419.0
Total Assets,31255684.0,12816280.0,13961603.0
Total Non Current Assets,21399986.0,3796430.0,5319661.0
Other Non Current Assets,15345231.0,,
Non Current Deferred Assets,,,0.0
Investments And Advances,0.0,0.0,1356618.0
Goodwill And Other Intangible Assets,44067.0,55630.0,67710.0
Net PPE,6010688.0,3740800.0,3895333.0
Accumulated Depreciation,-2085074.0,-1995226.0,-1704758.0
Gross PPE,8095762.0,5736026.0,5600091.0
Leases,303418.0,,0.0
Other Properties,1191568.0,5391648.0,74493.0
Machinery Furniture Equipment,6600776.0,344378.0,5525598.0
Properties,0.0,,0.0
Current Assets,9855698.0,9019850.0,8641942.0
Current Deferred Assets,49763.0,38923.0,96656.0
Prepaid Assets,48351.0,81794.0,122456.0
Inventory,1558819.0,1485361.0,1183572.0
Inventories Adjustments Allowances,-161476.0,-73090.0,-72787.0
Finished Goods,1424186.0,1123467.0,971550.0
Work In Process,199127.0,265220.0,230646.0
Raw Materials,96982.0,169764.0,54163.0
Receivables,6567791.0,5658567.0,5158543.0
Other Receivables,50281.0,15692.0,15690.0
Notes Receivable,1555085.0,1703662.0,971044.0
Accounts Receivable,4962425.0,3939213.0,4171809.0
Allowance For Doubtful Accounts Receivable,-59742.0,-20125.0,-16137.0
Gross Accounts Receivable,5022167.0,3959338.0,4187946.0
Cash Cash Equivalents And Short Term Investments,1630974.0,1755205.0,2080715.0
Other Short Term Investments,177982.0,,0.0
Cash And Cash Equivalents,1452992.0,1755205.0,2080715.0
Cash Financial,1452992.0,1755205.0,2080715.0
