,2026-03-31,2025-12-31,2025-09-30,2024-12-31
Ordinary Shares Number,17105643.0,17105643.0,17105643.0,17105643.0
Share Issued,17105643.0,17105643.0,17105643.0,17105643.0
Total Debt,2680000.0,3672000.0,4279000.0,6801000.0
Tangible Book Value,234104000.0,207287000.0,212853000.0,-61108000.0
Invested Capital,234104000.0,207287000.0,212853000.0,-61108000.0
Working Capital,263660000.0,231044000.0,239523000.0,-26319000.0
Net Tangible Assets,234104000.0,207287000.0,212853000.0,-61108000.0
Capital Lease Obligations,2680000.0,3672000.0,4279000.0,6801000.0
Common Stock Equity,234104000.0,207287000.0,212853000.0,-61108000.0
Total Capitalization,234104000.0,207287000.0,212853000.0,-61108000.0
Total Equity Gross Minority Interest,234104000.0,207287000.0,212853000.0,-61108000.0
Stockholders Equity,234104000.0,207287000.0,212853000.0,-61108000.0
Other Equity Interest,,,,-61108000.0
Retained Earnings,12128000.0,,,
Additional Paid In Capital,221960000.0,207270000.0,212836000.0,
Capital Stock,16000.0,17000.0,17000.0,
Common Stock,16000.0,17000.0,17000.0,
Preferred Stock,0.0,,,
Total Liabilities Net Minority Interest,58256000.0,71066000.0,64691000.0,68294000.0
Total Non Current Liabilities Net Minority Interest,36351000.0,29265000.0,32952000.0,41492000.0
Other Non Current Liabilities,,574000.0,574000.0,574000.0
Non Current Deferred Liabilities,36351000.0,28691000.0,32066000.0,37961000.0
Non Current Deferred Revenue,36351000.0,28691000.0,32066000.0,37961000.0
Long Term Debt And Capital Lease Obligation,,,312000.0,2957000.0
Long Term Capital Lease Obligation,,,312000.0,2957000.0
Current Liabilities,21905000.0,41801000.0,31739000.0,26802000.0
Current Deferred Liabilities,9344000.0,21639000.0,19123000.0,20987000.0
Current Deferred Revenue,9344000.0,21639000.0,19123000.0,20987000.0
Current Debt And Capital Lease Obligation,2680000.0,3672000.0,3967000.0,3844000.0
Current Capital Lease Obligation,2680000.0,3672000.0,3967000.0,3844000.0
Pensionand Other Post Retirement Benefit Plans Current,2091000.0,3147000.0,2593000.0,246000.0
Payables And Accrued Expenses,7790000.0,13343000.0,6056000.0,1725000.0
Current Accrued Expenses,6983000.0,8945000.0,5605000.0,1193000.0
Payables,807000.0,4398000.0,451000.0,532000.0
Accounts Payable,807000.0,4398000.0,451000.0,532000.0
Total Assets,292360000.0,278353000.0,277544000.0,7186000.0
Total Non Current Assets,6795000.0,5508000.0,6282000.0,6703000.0
Other Non Current Assets,415000.0,,,
Net PPE,6380000.0,5508000.0,6282000.0,6703000.0
Accumulated Depreciation,,-2844000.0,-1403000.0,-1234000.0
Gross PPE,6380000.0,8352000.0,7685000.0,7937000.0
Leases,,0.0,0.0,288000.0
Other Properties,6380000.0,6581000.0,7685000.0,7649000.0
Machinery Furniture Equipment,,1771000.0,,0.0
Properties,,0.0,0.0,0.0
Current Assets,285565000.0,272845000.0,271262000.0,483000.0
Other Current Assets,138000.0,1310000.0,,
Prepaid Assets,2578000.0,1535000.0,1262000.0,483000.0
Receivables,15000000.0,,,0.0
Accounts Receivable,15000000.0,,,0.0
Cash Cash Equivalents And Short Term Investments,267849000.0,270000000.0,270000000.0,
Cash And Cash Equivalents,267849000.0,270000000.0,270000000.0,
