,2025-09-30,2025-03-31
Ordinary Shares Number,7827355.0,7827355.0
Share Issued,7827355.0,7827355.0
Net Debt,11375838.0,4594759.0
Total Debt,18910113.0,15916164.0
Tangible Book Value,28535920.0,26818057.0
Invested Capital,48476190.0,43639199.0
Working Capital,20347322.0,23043877.0
Net Tangible Assets,28535920.0,26818057.0
Capital Lease Obligations,72645.0,189515.0
Common Stock Equity,29638722.0,27912550.0
Total Capitalization,29638722.0,27912550.0
Total Equity Gross Minority Interest,29572467.0,27756321.0
Minority Interest,-66255.0,-156229.0
Stockholders Equity,29638722.0,27912550.0
Gains Losses Not Affecting Retained Earnings,1940773.0,1294714.0
Other Equity Adjustments,1940773.0,1294714.0
Retained Earnings,20940978.0,19860865.0
Additional Paid In Capital,6749144.0,6749144.0
Capital Stock,7827.0,7827.0
Common Stock,7827.0,7827.0
Total Liabilities Net Minority Interest,23795891.0,20767173.0
Total Non Current Liabilities Net Minority Interest,0.0,30095.0
Long Term Debt And Capital Lease Obligation,0.0,30095.0
Long Term Capital Lease Obligation,0.0,30095.0
Current Liabilities,23795891.0,20737078.0
Current Deferred Liabilities,611233.0,460440.0
Current Deferred Revenue,611233.0,460440.0
Current Debt And Capital Lease Obligation,18910113.0,15886069.0
Current Capital Lease Obligation,72645.0,159420.0
Current Debt,18837468.0,15726649.0
Line Of Credit,18837468.0,15726649.0
Pensionand Other Post Retirement Benefit Plans Current,388037.0,
Payables And Accrued Expenses,3886508.0,4390569.0
Current Accrued Expenses,93289.0,450453.0
Payables,3793219.0,3940116.0
Other Payable,192146.0,
Dueto Related Parties Current,42132.0,275741.0
Total Tax Payable,302317.0,608316.0
Income Tax Payable,259654.0,608316.0
Accounts Payable,3256624.0,3056059.0
Total Assets,53368358.0,48523494.0
Total Non Current Assets,9225145.0,4742539.0
Non Current Deferred Assets,141801.0,134447.0
Non Current Deferred Taxes Assets,141801.0,134447.0
Goodwill And Other Intangible Assets,1102802.0,1094493.0
Other Intangible Assets,1102802.0,1094493.0
Net PPE,7980542.0,3513599.0
Accumulated Depreciation,-4223754.0,-4111119.0
Gross PPE,12204296.0,7624718.0
Leases,287642.0,351508.0
Construction In Progress,6537800.0,2037487.0
Other Properties,85157.0,175803.0
Machinery Furniture Equipment,2839492.0,2651161.0
Buildings And Improvements,2454205.0,2408759.0
Properties,0.0,0.0
Current Assets,44143213.0,43780955.0
Current Deferred Assets,153753.0,
Prepaid Assets,2633487.0,2230363.0
Inventory,4923164.0,4455065.0
Finished Goods,915839.0,888900.0
Work In Process,1910478.0,1468139.0
Raw Materials,2096847.0,2098026.0
Receivables,6802572.0,6138962.0
Other Receivables,152173.0,152488.0
Duefrom Related Parties Current,0.0,137550.0
Taxes Receivable,736723.0,224645.0
Accounts Receivable,5913676.0,5624279.0
Allowance For Doubtful Accounts Receivable,-153197.0,-106801.0
Gross Accounts Receivable,6066873.0,5731080.0
Cash Cash Equivalents And Short Term Investments,29630237.0,30956565.0
Other Short Term Investments,22168607.0,19824675.0
Cash And Cash Equivalents,7461630.0,11131890.0
Cash Financial,7461630.0,11131890.0
