,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,202064000.0,202064000.0,162064000.0
Share Issued,202064000.0,202064000.0,162064000.0
Net Debt,31409773.68,,
Total Debt,861396411.58,636551858.74,681615386.34
Tangible Book Value,1897289886.84,1944816937.08,1792832418.5
Invested Capital,2841217990.08,2668500341.34,2569039336.34
Working Capital,1053639960.96,1126078736.61,949983896.44
Net Tangible Assets,1897289886.84,1944816937.08,1792832418.5
Capital Lease Obligations,158022912.03,158443110.25,160075240.0
Common Stock Equity,2137844490.53,2190391592.85,2047499190.0
Total Capitalization,2137844490.53,2190391592.85,2047499190.0
Total Equity Gross Minority Interest,2299141826.69,2343013142.54,2206646118.42
Minority Interest,161297336.16,152621549.69,159146928.42
Stockholders Equity,2137844490.53,2190391592.85,2047499190.0
Retained Earnings,1682827360.27,1737356403.09,1695985128.55
Additional Paid In Capital,88635679.76,85867093.0,85867093.0
Capital Stock,202064000.0,202064000.0,162064000.0
Common Stock,202064000.0,202064000.0,162064000.0
Total Liabilities Net Minority Interest,3405992645.9,2942201066.09,2990079928.74
Total Non Current Liabilities Net Minority Interest,104324170.15,107475567.93,110063007.75
Other Non Current Liabilities,6847.2,6847.2,6847.2
Non Current Deferred Revenue,18172076.65,14028587.14,12433040.16
Non Current Deferred Taxes Liabilities,1402492.43,2276223.84,228763.45
Long Term Debt And Capital Lease Obligation,84742753.87,91163909.75,97394356.94
Long Term Capital Lease Obligation,84742753.87,91163909.75,97394356.94
Long Term Debt,,,0.0
Current Liabilities,3301668475.75,2834725498.16,2880016920.99
Other Current Liabilities,10419522.28,7693559.95,12339622.6
Current Debt And Capital Lease Obligation,776653657.71,545387948.99,584221029.4
Current Capital Lease Obligation,73280158.16,67279200.5,62680883.06
Current Debt,703373499.55,478108748.49,521540146.34
Pensionand Other Post Retirement Benefit Plans Current,130548527.53,,152584230.88
Current Provisions,15376038.01,,
Payables,2207046423.49,2269746492.69,2116136474.89
Other Payable,431664763.88,486758239.66,352309223.32
Dividends Payable,10103200.0,,
Total Tax Payable,36250531.93,49306059.75,31231477.98
Accounts Payable,1729027927.68,1733682193.28,1732595773.59
Total Assets,5705134472.59,5285214208.63,5196726047.16
Total Non Current Assets,1349826035.88,1324409973.87,1366725229.73
Other Non Current Assets,,153466176.63,241427.71
Non Current Prepaid Assets,8381836.31,,8490.57
Non Current Deferred Assets,99378756.58,26300720.31,26427193.33
Non Current Deferred Taxes Assets,39083955.05,20573672.97,49145333.61
Investmentin Financial Assets,154849658.47,74000000.0,151399658.47
Available For Sale Securities,154849658.47,74000000.0,151399658.47
Long Term Equity Investment,103483949.88,27658029.51,102200000.0
Investments In Other Ventures Under Equity Method,103483949.88,,102200000.0
Investmentsin Associatesat Cost,,27658029.51,
Investment Properties,29505926.3,30790400.52,31407638.28
Goodwill And Other Intangible Assets,240554603.69,245574655.77,254666771.5
Other Intangible Assets,235538418.27,240558470.35,249650586.08
Goodwill,5016185.42,5016185.42,5016185.42
Net PPE,673679128.42,745061627.47,750619731.63
Accumulated Depreciation,-979174600.32,-1020262244.4,-1001266904.27
Gross PPE,1652853728.74,1765323871.87,1751886635.9
Construction In Progress,12397641.81,7973676.9,5005318.07
Other Properties,7200000.0,18810983.88,18810983.88
Machinery Furniture Equipment,580455509.52,699017385.11,690454455.49
Buildings And Improvements,1052800577.41,1039521825.98,1037615878.46
Properties,0.0,0.0,0.0
Current Assets,4355308436.71,3960804234.77,3830000817.43
Other Current Assets,1.0,24691721.19,
Restricted Cash,,7420000.0,7420000.0
Prepaid Assets,140150948.62,88044162.69,30626173.29
Inventory,17506359.28,24817424.79,14090076.83
Finished Goods,10389751.12,8385875.48,11491171.03
Work In Process,2528090.34,2365236.78,1085067.07
Raw Materials,4588517.82,14066312.53,1513838.73
Other Receivables,1736081014.58,1266630509.34,1159943169.88
Taxes Receivable,11041796.39,,3000998.29
Accounts Receivable,1778564590.97,1468914119.33,1627248472.38
Allowance For Doubtful Accounts Receivable,-87207357.62,-89471462.16,-94036609.26
Gross Accounts Receivable,1865771948.59,1558385581.49,1721285081.64
Cash Cash Equivalents And Short Term Investments,671963725.87,1080286297.43,987671926.76
Cash And Cash Equivalents,671963725.87,1080286297.43,987671926.76
Cash Equivalents,239115018.9,,
Cash Financial,432848706.97,,987671926.76
