,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,2940434.0,2940434.0,2940434.0
Share Issued,2940434.0,2940434.0,2940434.0
Net Debt,6269000.0,,22647000.0
Total Debt,31117000.0,,37619000.0
Tangible Book Value,16699000.0,,6218000.0
Invested Capital,33652000.0,,29551000.0
Working Capital,-6582000.0,,-16675000.0
Net Tangible Assets,16699000.0,,6218000.0
Capital Lease Obligations,14164000.0,,14286000.0
Common Stock Equity,16699000.0,,6218000.0
Total Capitalization,16699000.0,,6218000.0
Total Equity Gross Minority Interest,16699000.0,,6218000.0
Stockholders Equity,16699000.0,,6218000.0
Gains Losses Not Affecting Retained Earnings,0.0,,0.0
Retained Earnings,10921000.0,,5335000.0
Additional Paid In Capital,5778000.0,,883000.0
Capital Stock,0.0,,0.0
Common Stock,0.0,,0.0
Total Liabilities Net Minority Interest,60683000.0,,64829000.0
Total Non Current Liabilities Net Minority Interest,10171000.0,,8882000.0
Non Current Deferred Liabilities,2613000.0,,2017000.0
Non Current Deferred Taxes Liabilities,2613000.0,,2017000.0
Long Term Debt And Capital Lease Obligation,7558000.0,,6865000.0
Long Term Capital Lease Obligation,7558000.0,,6865000.0
Current Liabilities,50512000.0,,55947000.0
Current Deferred Liabilities,221000.0,,533000.0
Current Deferred Revenue,221000.0,,533000.0
Current Debt And Capital Lease Obligation,23559000.0,,30754000.0
Current Capital Lease Obligation,6606000.0,,7421000.0
Current Debt,16953000.0,,23333000.0
Other Current Borrowings,16953000.0,,23333000.0
Payables And Accrued Expenses,26732000.0,,24660000.0
Current Accrued Expenses,2566000.0,,2706000.0
Payables,24166000.0,,21954000.0
Dueto Related Parties Current,14472000.0,,12930000.0
Total Tax Payable,1020000.0,,288000.0
Income Tax Payable,993000.0,,127000.0
Accounts Payable,8674000.0,,8736000.0
Total Assets,77382000.0,,71047000.0
Total Non Current Assets,33452000.0,,31775000.0
Non Current Accounts Receivable,304000.0,,343000.0
Net PPE,33148000.0,,31432000.0
Accumulated Depreciation,-12319000.0,,-8779000.0
Gross PPE,45467000.0,,40211000.0
Machinery Furniture Equipment,43395000.0,,38139000.0
Buildings And Improvements,2072000.0,,2072000.0
Properties,0.0,,0.0
Current Assets,43930000.0,,39272000.0
Current Deferred Assets,0.0,,1901000.0
Prepaid Assets,1552000.0,,1115000.0
Inventory,15761000.0,,18620000.0
Finished Goods,15761000.0,,18620000.0
Receivables,15933000.0,,16950000.0
Other Receivables,1079000.0,,693000.0
Taxes Receivable,444000.0,,0.0
Accounts Receivable,14410000.0,,16257000.0
Allowance For Doubtful Accounts Receivable,-1901000.0,,-3053000.0
Gross Accounts Receivable,16311000.0,,19310000.0
Cash Cash Equivalents And Short Term Investments,10684000.0,,686000.0
Cash And Cash Equivalents,10684000.0,,686000.0
