,2025-03-31
Ordinary Shares Number,21100000.0
Share Issued,21100000.0
Total Debt,1366476.0
Tangible Book Value,2793121.0
Invested Capital,3832314.0
Working Capital,3188065.0
Net Tangible Assets,2793121.0
Capital Lease Obligations,327283.0
Common Stock Equity,2793121.0
Total Capitalization,3647980.0
Total Equity Gross Minority Interest,2793121.0
Stockholders Equity,2793121.0
Gains Losses Not Affecting Retained Earnings,24699.0
Foreign Currency Translation Adjustments,24699.0
Retained Earnings,2768422.0
Capital Stock,0.0
Common Stock,0.0
Total Liabilities Net Minority Interest,4132491.0
Total Non Current Liabilities Net Minority Interest,1006827.0
Long Term Debt And Capital Lease Obligation,1006827.0
Long Term Capital Lease Obligation,151968.0
Long Term Debt,854859.0
Current Liabilities,3125664.0
Current Deferred Liabilities,430735.0
Current Deferred Revenue,430735.0
Current Debt And Capital Lease Obligation,359649.0
Current Capital Lease Obligation,175315.0
Current Debt,184334.0
Other Current Borrowings,184334.0
Payables And Accrued Expenses,2335280.0
Current Accrued Expenses,168170.0
Payables,2167110.0
Dueto Related Parties Current,450894.0
Total Tax Payable,0.0
Accounts Payable,1716216.0
Total Assets,6925612.0
Total Non Current Assets,611883.0
Non Current Deferred Assets,32859.0
Non Current Deferred Taxes Assets,32859.0
Net PPE,579024.0
Accumulated Depreciation,-339923.0
Gross PPE,918947.0
Leases,486057.0
Other Properties,328203.0
Machinery Furniture Equipment,104687.0
Properties,0.0
Current Assets,6313729.0
Prepaid Assets,438950.0
Receivables,1501523.0
Other Receivables,15750.0
Duefrom Related Parties Current,0.0
Taxes Receivable,97858.0
Accounts Receivable,1387915.0
Allowance For Doubtful Accounts Receivable,-9927.0
Gross Accounts Receivable,1397842.0
Cash Cash Equivalents And Short Term Investments,4373256.0
Cash And Cash Equivalents,4373256.0
