,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,167131749.0,171886749.0,176418438.0
Share Issued,167131749.0,171886749.0,176418438.0
Net Debt,131252000.0,69216000.0,2280000.0
Total Debt,226405000.0,177342000.0,105638000.0
Tangible Book Value,1232866000.0,1275091000.0,1225956000.0
Invested Capital,1459271000.0,1452433000.0,1331594000.0
Net Tangible Assets,1232866000.0,1275091000.0,1225956000.0
Common Stock Equity,1232866000.0,1275091000.0,1225956000.0
Total Capitalization,1459271000.0,1452433000.0,1331594000.0
Total Equity Gross Minority Interest,1232866000.0,1275091000.0,1225956000.0
Stockholders Equity,1232866000.0,1275091000.0,1225956000.0
Retained Earnings,1106715000.0,1122600000.0,1052090000.0
Additional Paid In Capital,124480000.0,150772000.0,172102000.0
Capital Stock,1671000.0,1719000.0,1764000.0
Common Stock,1671000.0,1719000.0,1764000.0
Total Liabilities Net Minority Interest,227550000.0,178135000.0,106872000.0
Long Term Debt And Capital Lease Obligation,226405000.0,,105638000.0
Payables,1145000.0,793000.0,1234000.0
Other Payable,1039000.0,,1190000.0
Accounts Payable,106000.0,793000.0,44000.0
Total Assets,1460416000.0,1453226000.0,1332828000.0
Investments And Advances,1361734000.0,1338688000.0,1228736000.0
Investmentin Financial Assets,1361734000.0,1338688000.0,1228736000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1361734000.0,1338688000.0,1228736000.0
Prepaid Assets,1031000.0,,424000.0
Receivables,307000.0,6412000.0,310000.0
Cash And Cash Equivalents,95153000.0,108126000.0,103358000.0
Cash Equivalents,33834000.0,,38586000.0
Cash Financial,61319000.0,,64772000.0
Cash Cash Equivalents And Federal Funds Sold,95153000.0,108126000.0,103358000.0
