,2025-06-30
Ordinary Shares Number,99314782.0
Share Issued,99314782.0
Total Debt,16655000.0
Tangible Book Value,25581000.0
Invested Capital,60527000.0
Working Capital,9107000.0
Net Tangible Assets,25581000.0
Capital Lease Obligations,16655000.0
Common Stock Equity,60527000.0
Total Capitalization,60527000.0
Total Equity Gross Minority Interest,60527000.0
Stockholders Equity,60527000.0
Gains Losses Not Affecting Retained Earnings,-77040000.0
Other Equity Adjustments,-76782000.0
Foreign Currency Translation Adjustments,-258000.0
Retained Earnings,-127163000.0
Capital Stock,264730000.0
Common Stock,264730000.0
Total Liabilities Net Minority Interest,129621000.0
Total Non Current Liabilities Net Minority Interest,8662000.0
Employee Benefits,198000.0
Non Current Pension And Other Postretirement Benefit Plans,198000.0
Long Term Debt And Capital Lease Obligation,8464000.0
Long Term Capital Lease Obligation,8464000.0
Current Liabilities,120959000.0
Other Current Liabilities,4141000.0
Current Deferred Liabilities,21524000.0
Current Deferred Revenue,19821000.0
Current Deferred Taxes Liabilities,1703000.0
Current Debt And Capital Lease Obligation,8191000.0
Current Capital Lease Obligation,8191000.0
Pensionand Other Post Retirement Benefit Plans Current,2916000.0
Current Provisions,620000.0
Payables And Accrued Expenses,83567000.0
Payables,83567000.0
Other Payable,23597000.0
Accounts Payable,59970000.0
Total Assets,190148000.0
Total Non Current Assets,60082000.0
Non Current Deferred Assets,7302000.0
Non Current Deferred Taxes Assets,7302000.0
Goodwill And Other Intangible Assets,34946000.0
Other Intangible Assets,34946000.0
Net PPE,17834000.0
Accumulated Depreciation,-44634000.0
Gross PPE,62468000.0
Leases,39000.0
Other Properties,55454000.0
Machinery Furniture Equipment,6975000.0
Current Assets,130066000.0
Other Current Assets,247000.0
Current Deferred Assets,712000.0
Current Deferred Taxes Assets,712000.0
Prepaid Assets,5660000.0
Inventory,72186000.0
Other Inventories,72186000.0
Receivables,8991000.0
Other Receivables,1720000.0
Accounts Receivable,7271000.0
Cash Cash Equivalents And Short Term Investments,42270000.0
Other Short Term Investments,125000.0
Cash And Cash Equivalents,42145000.0
Cash Financial,42145000.0
