,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,93476.0,12267.0,12267.0
Share Issued,93476.0,12267.0,12267.0
Net Debt,,1937947.0,81854.0
Total Debt,17248848.0,11031967.0,4768043.0
Tangible Book Value,69988012.0,22083331.0,54205291.0
Invested Capital,136867221.0,75829224.0,75149107.0
Working Capital,66163483.0,21683466.0,21262205.0
Net Tangible Assets,69988012.0,22083331.0,54205291.0
Capital Lease Obligations,963116.0,1191967.0,768043.0
Common Stock Equity,120581489.0,65989224.0,71149107.0
Total Capitalization,121581489.0,66089224.0,71149107.0
Total Equity Gross Minority Interest,120732043.0,66274981.0,71298801.0
Minority Interest,150554.0,285757.0,149694.0
Stockholders Equity,120581489.0,65989224.0,71149107.0
Other Equity Interest,-15755217.0,-1993.0,-1913.0
Gains Losses Not Affecting Retained Earnings,1025090.0,1795023.0,2473466.0
Other Equity Adjustments,1025090.0,1795023.0,2473466.0
Retained Earnings,7841520.0,14013332.0,18494772.0
Additional Paid In Capital,127454016.0,50180663.0,50180671.0
Capital Stock,16080.0,2199.0,2111.0
Common Stock,16080.0,2199.0,2111.0
Total Liabilities Net Minority Interest,23218722.0,18962163.0,10035224.0
Total Non Current Liabilities Net Minority Interest,1480841.0,1562575.0,271442.0
Other Non Current Liabilities,,900000.0,
Long Term Debt And Capital Lease Obligation,1480841.0,662575.0,271442.0
Long Term Capital Lease Obligation,480841.0,562575.0,271442.0
Long Term Debt,1000000.0,100000.0,
Current Liabilities,21737881.0,17399588.0,9763782.0
Current Deferred Liabilities,40942.0,733665.0,620000.0
Current Deferred Revenue,40942.0,733665.0,620000.0
Current Debt And Capital Lease Obligation,15768007.0,10369392.0,4496601.0
Current Capital Lease Obligation,482275.0,629392.0,496601.0
Current Debt,15285732.0,9740000.0,4000000.0
Other Current Borrowings,15285732.0,,4000000.0
Line Of Credit,,9740000.0,
Payables And Accrued Expenses,5928932.0,6296531.0,4647181.0
Current Accrued Expenses,2050459.0,2692431.0,1352992.0
Payables,3878473.0,3604100.0,3294189.0
Other Payable,1952234.0,1559791.0,1045829.0
Dueto Related Parties Current,417105.0,245000.0,275100.0
Total Tax Payable,1509134.0,1799309.0,1973260.0
Income Tax Payable,1452052.0,1637213.0,1613840.0
Accounts Payable,,,0.0
Total Assets,143950765.0,85237144.0,81334025.0
Total Non Current Assets,56049401.0,46154090.0,50308038.0
Non Current Prepaid Assets,0.0,0.0,32000000.0
Non Current Deferred Assets,232563.0,247902.0,15330.0
Non Current Deferred Taxes Assets,232563.0,247902.0,15330.0
Goodwill And Other Intangible Assets,50593477.0,43905893.0,16943816.0
Other Intangible Assets,24043180.0,17276202.0,16943816.0
Goodwill,26550297.0,26629691.0,0.0
Net PPE,5223361.0,2000295.0,1348892.0
Accumulated Depreciation,-1454437.0,-602679.0,-625973.0
Gross PPE,6677798.0,2602974.0,1974865.0
Leases,4081600.0,151600.0,0.0
Other Properties,966479.0,1225115.0,768042.0
Machinery Furniture Equipment,1629719.0,1226259.0,1206823.0
Properties,0.0,0.0,0.0
Current Assets,87901364.0,39083054.0,31025987.0
Other Current Assets,1683616.0,1683616.0,
Current Deferred Assets,228213.0,1487976.0,0.0
Restricted Cash,0.0,3223620.0,3284685.0
Prepaid Assets,55290001.0,13415667.0,8617132.0
Receivables,10925954.0,11370122.0,15206024.0
Other Receivables,1937493.0,486342.0,202289.0
Duefrom Related Parties Current,0.0,17558.0,4439705.0
Loans Receivable,2729457.0,2444371.0,0.0
Accounts Receivable,6259004.0,8421851.0,10564030.0
Allowance For Doubtful Accounts Receivable,-887898.0,-1652681.0,-102200.0
Gross Accounts Receivable,7146902.0,10074532.0,10666230.0
Cash Cash Equivalents And Short Term Investments,19773580.0,7902053.0,3918146.0
Cash And Cash Equivalents,19773580.0,7902053.0,3918146.0
