,2026-03-31,2025-09-30
Ordinary Shares Number,27680041.0,27116667.0
Share Issued,27680041.0,27116667.0
Net Debt,,58492.0
Total Debt,,58492.0
Tangible Book Value,206943583.0,-21662.0
Invested Capital,206943583.0,36830.0
Working Capital,1584097.0,-79062.0
Net Tangible Assets,206943583.0,-21662.0
Common Stock Equity,206943583.0,-21662.0
Total Capitalization,206943583.0,-21662.0
Total Equity Gross Minority Interest,206943583.0,-21662.0
Stockholders Equity,206943583.0,-21662.0
Retained Earnings,1026212.0,-46662.0
Additional Paid In Capital,557160.0,24233.0
Capital Stock,205360211.0,767.0
Common Stock,205360211.0,767.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,228849.0,104062.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,228849.0,104062.0
Current Deferred Liabilities,7610.0,
Current Debt And Capital Lease Obligation,,58492.0
Current Debt,,58492.0
Other Current Borrowings,,58492.0
Payables And Accrued Expenses,221239.0,45570.0
Current Accrued Expenses,221239.0,45570.0
Total Assets,207172432.0,82400.0
Total Non Current Assets,205359486.0,57400.0
Other Non Current Assets,205359486.0,
Non Current Deferred Assets,0.0,57400.0
Current Assets,1812946.0,25000.0
Prepaid Assets,69545.0,25000.0
Cash Cash Equivalents And Short Term Investments,1743401.0,
Cash And Cash Equivalents,1743401.0,
Cash Financial,1743401.0,
