,2024-12-31
Ordinary Shares Number,1001449847.0
Share Issued,1001449847.0
Total Debt,133428000.0
Tangible Book Value,-14659776000.0
Invested Capital,-13874959000.0
Working Capital,164311000.0
Net Tangible Assets,-14659776000.0
Capital Lease Obligations,25959000.0
Common Stock Equity,-13982428000.0
Total Capitalization,-13982428000.0
Total Equity Gross Minority Interest,-13981499000.0
Minority Interest,929000.0
Stockholders Equity,-13982428000.0
Gains Losses Not Affecting Retained Earnings,-515000.0
Other Equity Adjustments,-515000.0
Retained Earnings,-13982036000.0
Additional Paid In Capital,0.0
Capital Stock,123000.0
Common Stock,123000.0
Total Liabilities Net Minority Interest,15512355000.0
Total Non Current Liabilities Net Minority Interest,15087526000.0
Other Non Current Liabilities,7615000.0
Preferred Securities Outside Stock Equity,14782675000.0
Dueto Related Parties Non Current,279536000.0
Tradeand Other Payables Non Current,0.0
Non Current Deferred Liabilities,0.0
Non Current Deferred Taxes Liabilities,0.0
Long Term Debt And Capital Lease Obligation,17700000.0
Long Term Capital Lease Obligation,17700000.0
Current Liabilities,424829000.0
Other Current Liabilities,26268000.0
Current Deferred Liabilities,107318000.0
Current Deferred Revenue,107318000.0
Current Debt And Capital Lease Obligation,115728000.0
Current Capital Lease Obligation,8259000.0
Current Debt,107469000.0
Line Of Credit,37199000.0
Current Notes Payable,70270000.0
Payables And Accrued Expenses,175515000.0
Current Accrued Expenses,22681000.0
Payables,152834000.0
Other Payable,77054000.0
Dueto Related Parties Current,3433000.0
Total Tax Payable,15684000.0
Accounts Payable,56663000.0
Total Assets,1530856000.0
Total Non Current Assets,941716000.0
Other Non Current Assets,12423000.0
Duefrom Related Parties Non Current,211519000.0
Non Current Accounts Receivable,211519000.0
Investments And Advances,6835000.0
Long Term Equity Investment,6835000.0
Goodwill And Other Intangible Assets,677348000.0
Other Intangible Assets,80689000.0
Goodwill,596659000.0
Net PPE,33591000.0
Accumulated Depreciation,-31992000.0
Gross PPE,65583000.0
Leases,16748000.0
Other Properties,24505000.0
Machinery Furniture Equipment,24330000.0
Properties,0.0
Current Assets,589140000.0
Current Deferred Assets,45942000.0
Restricted Cash,1261000.0
Prepaid Assets,14185000.0
Receivables,312351000.0
Other Receivables,178883000.0
Duefrom Related Parties Current,45208000.0
Taxes Receivable,14079000.0
Accounts Receivable,74181000.0
Allowance For Doubtful Accounts Receivable,-20403000.0
Gross Accounts Receivable,94584000.0
Cash Cash Equivalents And Short Term Investments,215401000.0
Other Short Term Investments,0.0
Cash And Cash Equivalents,215401000.0
