,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,7979248625.0,7979248625.0,7979248625.0
Share Issued,7979248625.0,7979248625.0,7979248625.0
Net Debt,259568000.0,323430000.0,229135000.0
Total Debt,537121000.0,470289000.0,442423000.0
Tangible Book Value,-39402000.0,87457000.0,154651000.0
Invested Capital,681556000.0,843683000.0,883016000.0
Working Capital,-18192000.0,78861000.0,163053000.0
Net Tangible Assets,-39402000.0,87457000.0,154651000.0
Capital Lease Obligations,124180000.0,66479000.0,62329000.0
Common Stock Equity,268615000.0,439873000.0,502922000.0
Total Capitalization,455561000.0,713175000.0,774034000.0
Total Equity Gross Minority Interest,178230000.0,354885000.0,422010000.0
Minority Interest,-90385000.0,-84988000.0,-80912000.0
Stockholders Equity,268615000.0,439873000.0,502922000.0
Other Equity Interest,141587000.0,138510000.0,170134000.0
Retained Earnings,-724893000.0,-562984000.0,-1413230000.0
Additional Paid In Capital,984302000.0,984302000.0,1886675000.0
Capital Stock,79792000.0,79792000.0,79792000.0
Common Stock,79792000.0,79792000.0,79792000.0
Total Liabilities Net Minority Interest,967456000.0,774837000.0,644301000.0
Total Non Current Liabilities Net Minority Interest,362336000.0,310152000.0,302374000.0
Tradeand Other Payables Non Current,92348000.0,,
Non Current Deferred Taxes Liabilities,,,0.0
Long Term Debt And Capital Lease Obligation,269988000.0,310152000.0,302374000.0
Long Term Capital Lease Obligation,83042000.0,36850000.0,31262000.0
Long Term Debt,186946000.0,273302000.0,271112000.0
Current Liabilities,605120000.0,464685000.0,341927000.0
Current Debt And Capital Lease Obligation,267133000.0,160137000.0,140049000.0
Current Capital Lease Obligation,41138000.0,29629000.0,31067000.0
Current Debt,225995000.0,130508000.0,108982000.0
Payables,239681000.0,199259000.0,136504000.0
Other Payable,102322000.0,111617000.0,93464000.0
Total Tax Payable,1146000.0,4360000.0,4954000.0
Accounts Payable,136213000.0,83282000.0,38086000.0
Total Assets,1145686000.0,1129722000.0,1066311000.0
Total Non Current Assets,558758000.0,586176000.0,561331000.0
Non Current Prepaid Assets,4888000.0,8672000.0,8319000.0
Non Current Deferred Taxes Assets,1455000.0,1539000.0,1596000.0
Investmentin Financial Assets,114559000.0,137536000.0,120170000.0
Available For Sale Securities,17901000.0,18055000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,96658000.0,119481000.0,120170000.0
Long Term Equity Investment,11000.0,16663000.0,16929000.0
Investmentsin Joint Venturesat Cost,0.0,0.0,0.0
Investmentsin Associatesat Cost,11000.0,16663000.0,16929000.0
Goodwill And Other Intangible Assets,308017000.0,352416000.0,348271000.0
Other Intangible Assets,94406000.0,102743000.0,98359000.0
Goodwill,213611000.0,249673000.0,249912000.0
Net PPE,129828000.0,69350000.0,65135000.0
Accumulated Depreciation,-256023000.0,,-241706000.0
Gross PPE,385851000.0,69350000.0,306841000.0
Construction In Progress,,,0.0
Other Properties,25734000.0,69350000.0,89000.0
Machinery Furniture Equipment,272204000.0,,260018000.0
Buildings And Improvements,87913000.0,,46734000.0
Properties,0.0,,0.0
Current Assets,586928000.0,543546000.0,504980000.0
Restricted Cash,272996000.0,275323000.0,249161000.0
Prepaid Assets,14282000.0,19180000.0,10690000.0
Other Receivables,43867000.0,61323000.0,32944000.0
Accounts Receivable,83740000.0,88646000.0,61226000.0
Cash Cash Equivalents And Short Term Investments,172043000.0,99074000.0,150959000.0
Other Short Term Investments,18670000.0,18694000.0,
Cash And Cash Equivalents,153373000.0,80380000.0,150959000.0
