,2026-02-28
Ordinary Shares Number,20274168.0
Share Issued,20274168.0
Tangible Book Value,146213380.0
Net Tangible Assets,146213380.0
Common Stock Equity,146213380.0
Total Equity Gross Minority Interest,146213380.0
Stockholders Equity,146213380.0
Other Equity Interest,149082251.0
Retained Earnings,-2868871.0
Total Liabilities Net Minority Interest,950471.0
Total Assets,147163851.0
Investments And Advances,134797839.0
Investmentin Financial Assets,134797839.0
Available For Sale Securities,134797839.0
Prepaid Assets,8936.0
Cash And Cash Equivalents,12029353.0
Cash Financial,12029353.0
Cash Cash Equivalents And Federal Funds Sold,12029353.0
