,2025-06-30
Ordinary Shares Number,13900000.0
Share Issued,13900000.0
Total Debt,273814.0
Tangible Book Value,2186884.0
Invested Capital,2186884.0
Working Capital,1298351.0
Net Tangible Assets,2186884.0
Capital Lease Obligations,273814.0
Common Stock Equity,2186884.0
Total Capitalization,2186884.0
Total Equity Gross Minority Interest,2186884.0
Stockholders Equity,2186884.0
Retained Earnings,2185884.0
Capital Stock,1000.0
Common Stock,1000.0
Total Liabilities Net Minority Interest,1722992.0
Total Non Current Liabilities Net Minority Interest,147587.0
Long Term Debt And Capital Lease Obligation,147587.0
Long Term Capital Lease Obligation,147587.0
Current Liabilities,1575405.0
Current Deferred Liabilities,560621.0
Current Deferred Revenue,560621.0
Current Debt And Capital Lease Obligation,126227.0
Current Capital Lease Obligation,126227.0
Pensionand Other Post Retirement Benefit Plans Current,21448.0
Payables And Accrued Expenses,867109.0
Current Accrued Expenses,27706.0
Payables,839403.0
Other Payable,714613.0
Dueto Related Parties Current,16376.0
Total Tax Payable,70397.0
Income Tax Payable,70397.0
Accounts Payable,38017.0
Total Assets,3909876.0
Total Non Current Assets,1036120.0
Non Current Deferred Assets,753099.0
Non Current Deferred Taxes Assets,2738.0
Net PPE,283021.0
Accumulated Depreciation,-250673.0
Gross PPE,533694.0
Leases,19231.0
Machinery Furniture Equipment,259074.0
Buildings And Improvements,255389.0
Properties,0.0
Current Assets,2873756.0
Other Current Assets,1931.0
Restricted Cash,886.0
Prepaid Assets,75332.0
Receivables,345574.0
Duefrom Related Parties Current,0.0
Taxes Receivable,40710.0
Accrued Interest Receivable,0.0
Accounts Receivable,304864.0
Allowance For Doubtful Accounts Receivable,-14237.0
Gross Accounts Receivable,319101.0
Cash Cash Equivalents And Short Term Investments,2450033.0
Cash And Cash Equivalents,2450033.0
