,2026-01-31
Net Debt,388990000.0
Total Debt,391787000.0
Tangible Book Value,544652000.0
Invested Capital,936439000.0
Working Capital,387511000.0
Net Tangible Assets,544652000.0
Common Stock Equity,544652000.0
Total Capitalization,604320000.0
Total Equity Gross Minority Interest,544652000.0
Stockholders Equity,544652000.0
Retained Earnings,244972000.0
Additional Paid In Capital,161410000.0
Capital Stock,138270000.0
Common Stock,138270000.0
Total Liabilities Net Minority Interest,1099471000.0
Total Non Current Liabilities Net Minority Interest,62504000.0
Non Current Deferred Taxes Liabilities,549000.0
Long Term Debt And Capital Lease Obligation,59668000.0
Long Term Debt,59668000.0
Long Term Provisions,2287000.0
Current Liabilities,1036967000.0
Other Current Liabilities,314212000.0
Current Debt And Capital Lease Obligation,332119000.0
Current Debt,332119000.0
Current Provisions,14484000.0
Payables,374262000.0
Other Payable,8942000.0
Accounts Payable,365320000.0
Total Assets,1644123000.0
Total Non Current Assets,219646000.0
Non Current Prepaid Assets,358000.0
Non Current Deferred Taxes Assets,0.0
Investmentin Financial Assets,174692000.0
Available For Sale Securities,174692000.0
Net PPE,44596000.0
Accumulated Depreciation,-16700000.0
Gross PPE,61296000.0
Other Properties,1000.0
Machinery Furniture Equipment,61295000.0
Current Assets,1424478000.0
Prepaid Assets,30494000.0
Inventory,138991000.0
Accounts Receivable,1252196000.0
Cash Cash Equivalents And Short Term Investments,2797000.0
Cash And Cash Equivalents,2797000.0
Cash Equivalents,718000.0
Cash Financial,2079000.0
