,2026-04-30,2026-01-31
Ordinary Shares Number,15894069.0,14101103.0
Share Issued,15894069.0,14101103.0
Net Debt,,260489.0
Total Debt,500.0,260489.0
Tangible Book Value,113417896.0,-70659.0
Invested Capital,113418396.0,189830.0
Working Capital,510387.0,-70659.0
Net Tangible Assets,113417896.0,-70659.0
Common Stock Equity,113417896.0,-70659.0
Total Capitalization,113417896.0,-70659.0
Total Equity Gross Minority Interest,113417896.0,-70659.0
Stockholders Equity,113417896.0,-70659.0
Other Equity Interest,,-25000.0
Retained Earnings,219449.0,-70659.0
Additional Paid In Capital,290469.0,24564.0
Capital Stock,112907978.0,436.0
Common Stock,112907978.0,436.0
Total Liabilities Net Minority Interest,13994.0,260489.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,13994.0,260489.0
Current Debt And Capital Lease Obligation,500.0,260489.0
Current Debt,500.0,260489.0
Other Current Borrowings,500.0,260489.0
Payables And Accrued Expenses,13494.0,
Current Accrued Expenses,13494.0,
Total Assets,113431890.0,189830.0
Total Non Current Assets,112907509.0,0.0
Other Non Current Assets,112907509.0,
Current Assets,524381.0,189830.0
Current Deferred Assets,0.0,139739.0
Prepaid Assets,140000.0,50091.0
Receivables,233381.0,
Duefrom Related Parties Current,233381.0,
Cash Cash Equivalents And Short Term Investments,151000.0,
Cash And Cash Equivalents,151000.0,
