,2025-12-31,2025-09-30,2025-06-30,2024-12-31
Ordinary Shares Number,2369995.0,2369995.0,2369995.0,2370139.0
Share Issued,2369995.0,2369995.0,2369995.0,2370139.0
Net Debt,1791163.0,2155868.0,2479857.0,
Total Debt,1875000.0,2250000.0,2625000.0,
Tangible Book Value,6292270.0,7237706.0,8057284.0,10118148.0
Invested Capital,9650721.0,11973291.0,12646374.0,10375901.0
Working Capital,-1857895.0,-2718672.0,-2782272.0,687290.0
Net Tangible Assets,6297320.0,7242756.0,8062334.0,10123198.0
Common Stock Equity,7775721.0,9723291.0,10021374.0,10375901.0
Preferred Stock Equity,5050.0,5050.0,5050.0,5050.0
Total Capitalization,8155771.0,9728341.0,10026424.0,10380951.0
Total Equity Gross Minority Interest,7780771.0,9728341.0,10026424.0,10380951.0
Stockholders Equity,7780771.0,9728341.0,10026424.0,10380951.0
Gains Losses Not Affecting Retained Earnings,-143867.0,-142264.0,-146203.0,-146463.0
Other Equity Adjustments,-143867.0,-142264.0,-146203.0,-146463.0
Retained Earnings,-81672879.0,-79460192.0,-79158170.0,-78803383.0
Additional Paid In Capital,89556913.0,89290193.0,89290193.0,89290193.0
Capital Stock,40604.0,40604.0,40604.0,40604.0
Common Stock,35554.0,35554.0,35554.0,35554.0
Preferred Stock,5050.0,5050.0,5050.0,5050.0
Total Liabilities Net Minority Interest,3133579.0,3307174.0,3470206.0,990346.0
Total Non Current Liabilities Net Minority Interest,375000.0,0.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,375000.0,,,
Long Term Debt,375000.0,,,
Current Liabilities,2758579.0,3307174.0,3470206.0,990346.0
Current Debt And Capital Lease Obligation,1500000.0,2250000.0,2625000.0,
Current Debt,1500000.0,2250000.0,2625000.0,
Other Current Borrowings,1500000.0,,,
Line Of Credit,,2250000.0,,
Payables And Accrued Expenses,1258579.0,1057174.0,845206.0,990346.0
Current Accrued Expenses,411063.0,,,465286.0
Payables,847516.0,1057174.0,,525060.0
Other Payable,532788.0,1027604.0,,525060.0
Total Tax Payable,,29570.0,,
Accounts Payable,314728.0,,,0.0
Total Assets,10914350.0,13035515.0,13496630.0,11371297.0
Total Non Current Assets,10013665.0,12447013.0,12808696.0,9693661.0
Goodwill And Other Intangible Assets,1483451.0,2485585.0,1964090.0,257753.0
Other Intangible Assets,1483451.0,2485585.0,1964090.0,257753.0
Net PPE,8530214.0,9961428.0,10844606.0,9435908.0
Accumulated Depreciation,-6637411.0,,-4725928.0,-3106022.0
Gross PPE,15167625.0,9961428.0,15570534.0,12541930.0
Other Properties,10552984.0,9961428.0,11027858.0,8127643.0
Machinery Furniture Equipment,2718349.0,,2646385.0,2517995.0
Land And Improvements,1896292.0,,1896291.0,1896292.0
Properties,0.0,,0.0,0.0
Current Assets,900684.0,588502.0,687934.0,1677636.0
Prepaid Assets,793481.0,494370.0,50000.0,558707.0
Receivables,23366.0,,492791.0,0.0
Other Receivables,,,492791.0,
Accounts Receivable,23366.0,,,0.0
Cash Cash Equivalents And Short Term Investments,83837.0,94132.0,145143.0,1118929.0
Cash And Cash Equivalents,83837.0,94132.0,145143.0,1118929.0
